query_shape	count
["42"]	8397288
["211"]	8287396
["379","66"]	6823141
["146"]	3687529
["342"]	3240310
["3","231"]	2887012
["10"]	2140724
["514"]	1983984
["123"]	1675503
["2687","5966"]	1672960
["173"]	1454546
["61,62"]	1053451
["2686","6254"]	835108
["18"]	732797
["3,6","231"]	716578
["5"]	600307
["3,18,416,492","493"]	574462
["13643","6062"]	530983
["3","7"]	526859
["231","7"]	516981
["13","231","236"]	504890
[]	496432
["3,12,23"]	402773
["3,6","231","7"]	326556
["61,4079","2887"]	312205
["23"]	277552
["62,143","143"]	265091
["14,64","6,14,64","14,64,517"]	242690
["6"]	230357
["3","6","231"]	222270
["3","231","6"]	218494
["23644","231"]	209542
["3,18,65,168","231","3,6,18,65","24,26,29","3,18,21,65,168","3,18,65,142,168","3,6,18,21,65","3,6,18,65,142","7"]	201685
["24,29","7"]	199920
["231"]	195150
["18,65","194"]	189981
["3,12,13,14"]	174657
["13401","5870"]	170762
["61"]	168992
["6","6,23"]	155311
["6","7"]	152927
["27","24,28,29","7"]	149885
["3,18,168","3,6,18","231","24,26,29","3","7"]	145315
["120"]	139859
["49"]	134125
["1","7"]	133444
["12"]	126675
["42","43","42,44","42,45","42,46","21,42","42,47","43,44","43,45","43,46","21,43","43,47"]	120172
["59","7"]	117014
["3","231","622","201","1039","151","7"]	115443
["24"]	107345
["3,61,62","231"]	103194
["121","7"]	100705
["3,61,62"]	94825
["3,6","231","3,6,87"]	94706
["6","6,23","6,168"]	87421
["3330","7"]	87418
["13251","5835"]	79139
["142"]	75536
["14963","7452"]	70703
["125"]	67849
["3"]	66936
["87","2648","2649,2999","79","188","895","87,468","468","3","231","7"]	64043
["88,89","24,29","6,88,89"]	62651
["482"]	56711
["6","6,197"]	54988
["3,6","3,6,460","3,6,49","3,6,109","3,6,57","7","6"]	51053
["3,168","231","3,87,168"]	49272
["1"]	48463
["64"]	47210
["49","24,26,29"]	45786
["271"]	44603
["21","3,21","7"]	44038
["3,6"]	43922
["572"]	42094
["6,65","24,26","7"]	40233
["21,61"]	38605
["8"]	35800
["12,13","231"]	35449
["14"]	35019
["13445","5939"]	34687
["13362","5927"]	34620
["3,6","3,6,185","186","187","3,6,188","3,6,90","7"]	33706
["3,87","6","3,21,87","3,87,168","7"]	33253
["119"]	32890
["87","3,87","7"]	32827
["929","45","65,763","764","765,766","65,66,763","66","7","6"]	32660
["3,65"]	31154
["15511","7870"]	30891
["4"]	30652
["34"]	30461
["12","7"]	30190
["6","168"]	30112
["438","7"]	28851
["10","7"]	28836
["2406"]	28125
["87"]	26950
["3,6,17"]	26779
["77"]	26638
["91"]	23248
["750"]	22874
["3,49","7"]	22210
["3","231","18","389,390,1038"]	22200
["94"]	21151
["2859"]	20740
["76"]	20647
["13624","5992"]	20623
["87","2648","2649,2999","79","188","895","87,468","468","87,831","87,468,831","7"]	20101
["231","59"]	19987
["3,6,121","231","3,6,121,197"]	19155
["1581"]	18974
["6,13","231","3,6"]	18868
["168"]	18697
["65,231","231","194","65,231,485"]	18604
["323","7"]	18584
["16"]	18412
["87","7"]	17897
["32"]	17130
["3,339","340","3,12,339","3,14,339","3,64,339","3,45,339","3,44,339","3,339,940","3,163,339","3,339,486","3,339,488","3,339,481","3,339,480","3,339,727","3,170,339","3,198,339","3,339,1039","7"]	16854
["3,56","3,56,57","3,56,58","3,56,59"]	15753
["70"]	15572
["1455"]	14988
["128"]	14905
["3,6,65,379","194","231","443","3,6,65,379,868","3,6,23,65,379,763","764","765,766","379"]	14685
["67"]	13714
["472"]	13559
["3,17"]	13457
["23","7"]	13223
["69"]	13108
["112"]	13005
["3,47"]	12573
["21","22","18","19","7","6,23"]	12540
["3,47,220"]	12503
["3,47,221"]	12491
["137"]	12418
["156"]	12109
["127"]	11573
