query_shape	count
["2,8,16","8,38","8,52"]	146643
["1"]	8465
["106"]	7620
["49"]	7309
["74"]	7279
["208"]	7232
["1326"]	7226
["247"]	7222
["8,26","8","8,27","8,28","8,29","24,26","24,27","24"]	6755
["8,28","5,8,36","8,29","8","5,8,26,36","5,8,27,36","24,28","24,29","24"]	6734
["5"]	4373
["16"]	3583
["2"]	2548
["5,8"]	2440
["31"]	1092
["31","8"]	1042
["71"]	906
["8"]	803
["5,24"]	714
["5","5,8","5,12","5,11","2,5"]	646
["2,8,13","2,8,13,36","2,8,13,293"]	583
["44"]	582
["24,36,37,100"]	575
["5,677","5,8","5,1923","5,69","5,24","5,70"]	565
["2,8"]	542
["2,8,13"]	486
["5,8,25"]	438
["24"]	415
["8","5,8"]	376
["5,8,92"]	344
["5,516","5,8"]	280
["5,8,44"]	270
["8","90"]	256
["24,31,36,37,44"]	244
["24,36,98,100"]	218
["24,31"]	215
["45"]	207
["2,8","2,8,11","2,8,12"]	207
["5,677","95","5,8","5,1923","5,69","5,24","5,70"]	206
["2","2,16"]	203
["95"]	197
["8,44,73"]	196
["8,31","8,31,44"]	195
["24,31,122","24"]	176
["2,8,44","226"]	174
["5,8","90"]	165
["5,8,23,44,106"]	157
["24,31","24,31,44"]	157
["37","8"]	156
["144","8"]	155
["294","8"]	155
["8,31"]	146
["11,12"]	145
["2,13,16"]	135
["3"]	127
["52"]	122
["37"]	121
["1120"]	120
["2,8,13,117"]	116
["11,12","8,11,12"]	114
["53"]	104
["5,8,11,12,31","5,8,11,12,31,44","5,8,11,12,16,31"]	104
["5,83"]	103
["44","13"]	101
["75,121"]	98
["5,354"]	98
["3,5"]	97
["5,8,83"]	97
["5,15","5,15,348"]	95
["5,134","5,135"]	93
["74","75"]	93
["5","2,5","5,12","5,11"]	92
["158"]	90
["5,36,1120"]	90
["2,16"]	86
["83"]	82
["1,5"]	81
["20"]	78
["24,36,37"]	78
["106,183,184,250"]	77
["5,23","24"]	75
["24,55"]	74
["5,37"]	73
["5,14,143"]	72
["5","8"]	72
["5,8,11,12,17,83","5,8","8"]	70
["5,15"]	70
["106,183,184"]	69
[]	68
["5,31"]	65
["19"]	63
["111"]	61
["8,31","90"]	60
["31","45"]	58
["246"]	57
["4,5,8,1924"]	57
["5,49"]	54
["8","8,110"]	51
["31,749","81"]	50
["5,8","5,8,2072","256","83"]	49
["24,36,37,131"]	47
["49","8"]	47
["98"]	44
["24,254,283"]	44
["38"]	43
["5,14"]	42
["8","5"]	42
["24,49","24,36"]	41
["24,36"]	41
["240"]	40
["5,26"]	40
["5,44"]	40
["145","3"]	40
["5,36"]	39
["5,8,1122,1123"]	39
["4,5,8"]	39
["2,5,8"]	39
["2,5"]	39
["36"]	38
