query_shape	count
["379","66"]	10335706
["42"]	8232363
["211"]	8130850
["514"]	6916832
["10"]	6351896
["146"]	4419490
["342"]	3206210
[]	2540018
["123"]	1984628
["2687","5966"]	1842277
["23644","231"]	1565052
["2690","5806"]	1372470
["173"]	1260772
["18"]	732173
["5"]	593202
["13","231","236"]	589052
["3,12,23"]	549023
["6","6,23","6,168"]	504534
["231","7"]	411686
["6"]	338196
["754","121","754,14191","259,6568","7"]	309743
["49","24,26","21,49","49,142","49,1618"]	273442
["62,143","143"]	265716
["14,64","6,14,64","14,64,517"]	229344
["42","43","42,44","42,45","42,46","21,42","42,47","43,44","43,45","43,46","21,43","43,47"]	222821
["3","7"]	222233
["18311"]	219931
["59","7"]	205888
["3","3,6,8,194,222","3,6,8,168,194,222","7"]	200911
["3,56","3,56,57","3,56,58","3,56,59"]	200011
["3,145","231","7"]	183768
["3,12,13,14"]	175203
["18,65","194"]	170430
["2686","6254"]	164474
["1308","255,1309","255,259,1309","7"]	158693
["1","7"]	147661
["120"]	136036
["569","21,569"]	134179
["119","28"]	133055
["27","24,28,29","7"]	126446
["3330","7"]	125649
["13"]	124811
["1667","1680","666,872","231,666,872","231"]	119161
["12"]	116181
["3,18,65,168","231","3,6,18,65","24,26,29","3,18,21,65,168","3,18,65,142,168","3,6,18,21,65","3,6,18,65,142","7"]	108858
["49","24,26,29"]	101449
["23"]	100658
["231","35","3","13","7"]	98501
["3,49","3,6,49"]	93837
["1667","1680","666","231,666","231"]	89496
["61,4079","2887"]	83965
["3,18,168","3,6,18","231","24,26,29","3","7"]	79371
["3,56","231","7"]	78850
["87","7"]	78422
["6","6,23"]	78124
["49"]	76979
["3","231"]	76659
["142"]	71396
["3,87","6","3,21,87","3,87,168","7"]	68355
["288"]	63907
["125"]	61941
["21","3,21","7"]	60027
["3","231","622","201","1039","151","7"]	59245
["3,57,145","7"]	57461
["35"]	56730
["88,89","24,29","6,88,89"]	56521
["3","3,13"]	53988
["1"]	53937
["2599"]	53034
["87"]	52561
["61,62,143","143","7"]	49271
["271"]	42353
["572"]	39298
["21,61"]	38616
["168"]	37937
["3,6,13","3,13,168","7"]	35904
["12,13","231"]	35468
["3"]	31079
["231"]	29526
["538","2855","708,709","535","375,536","2","121","7"]	27662
["253","254","231"]	25679
["136,342","6"]	23729
["77"]	23303
["3,6","3,168","7"]	22973
["4"]	22178
["3,370","231","3"]	21305
["34"]	21189
["980","120"]	20904
["64","24,26,29"]	20100
["1581"]	19466
["61","62","24,26","61,143","143"]	18955
["3,6,17"]	18775
["94"]	18747
["6,13","231","3,6"]	18508
["231","3","24","7"]	18497
["2406"]	17999
["507"]	17524
["126"]	17449
["66","3","231","3,66","7"]	17353
["47","45","14","13","12","3","64","44","163","1039","136","109","57","165","219","65","754","2","7"]	17210
["1,450"]	17143
["3,339","340","3,12,339","3,14,339","3,64,339","3,45,339","3,44,339","3,339,940","3,163,339","3,339,486","3,339,488","3,339,481","3,339,480","3,339,727","3,170,339","3,198,339","3,339,1039","3,339,350","7"]	15668
["3,6"]	15350
["3,6,13,45","65","8","3,13,45,168"]	15009
["21","22","891","18","19","7","6,23"]	14267
["2859"]	14104
["3,339","340","340,9073","773","1640","340,9164","340,599","340,600","7"]	14015
["3,17"]	13510
["1301","6,1301"]	12768
["3,47"]	12646
["3,47,221"]	12569
["3,47,220"]	12569
["76"]	12495
["91"]	12475
["128"]	12448
["16"]	12329
["12","45","47","198","21","7"]	12281
["263"]	12116
["3,211","24,26,29","3,42","3,42,211","3,21,211","3,21,42","7","6,23"]	12073
["3,6","3,6,185","186","187","3,6,188","3,6,90","7"]	11772
["135"]	11732
["1455"]	11653
["1538"]	11638
["17949"]	11283
["70"]	10926
["3","3,18,65","7"]	10804
["7"]	10484
["3,45,449,450,626","773,1640","1639","66","510","3,45,64,449,450,626","3,45,449,450,626,919"]	10257
["3,449,450,628","773,1640","2866","3,449,450,628,919"]	10247
["3,449,450,626","773,1640","1639","3,449,450,626,919"]	10245
["3,449,450,626","773,1640","1639","3,64,449,450,626","3,449,450,626,919","45","66","510"]	10234
["3,449,450,628","773,1640","2866","3,449,450,628,919","45","66","510"]	10221
["3,45,449,450,628","773,1640","2866","66","510","3,45,449,450,628,919"]	10221
["454"]	10171
["122"]	9990
["16457","8722"]	9910
["3,59,185","3,185","231","832","239,832","3,59,185,862","3,59,90,185","3,59,185,188","833","3,185,867","7"]	9709
["89,664,1126,1667,2832","3,6","630,2833"]	9534
["3,185","832","231","239,832","3,185,862","3,90,185","3,185,188","867","833","7"]	9424
["21,61,4974","7"]	9414
["66","1073","66,1073","24044"]	9038
["833"]	9033
["3,185","832","239,832","3,185,867"]	9028
["59","59,185","832","239,832"]	9027
["3","231","7"]	8936
["67"]	8919
["416,492","493","66,416,492","66","59","336","59,66","66,336","17819","66,17819","416,492,763","764","765,766","15,416,492","416,492,663","66,416,492,763","15,66,416,492","66,416,492,663","59,763","15,59","59,663","59,66,763","15,59,66","59,66,663","336,763","15,336","336,663","66,336,763","15,66,336","66,336,663","763,17819","15,17819","663,17819","66,763,17819","15,66,17819","66,663,17819","7"]	8761
["1978","1979"]	8702
["388"]	8587
["32"]	8575
["24,26,29"]	8362
["145,253","254","231","59,145","57,145,253","57,59,145","7"]	8349
["3,65"]	8197
["15"]	8121
["88"]	7973
["12,47","24","24,29"]	7877
["96,97,98,99,100,540,541"]	7869
["156"]	7755
["17951"]	7593
["121"]	7401
["217","218","7","259","448"]	7080
["3","3,6,8,194","3,6,8,168,194","7"]	6931
["61"]	6927
["3,65,1126","3,65,1126,3039","7"]	6698
["3,45","66"]	6677
["3,45,220","66"]	6649
["3,45,221","66"]	6649
["108"]	6557
["69"]	6550
["18501"]	6515
["17957"]	6453
["142","24,29","7"]	6274
["472"]	6243
["227"]	6241
["119","119,845","24","7"]	6112
["3,65","231"]	6098
["24"]	6078
["127"]	5804
["18,65","7"]	5782
["2982"]	5701
["28,140","28,140,351","28,140,352","28,140,150","28,140,353","354","7","6"]	5540
["17965"]	5283
["17956"]	5253
["3,6","3,168"]	5251
["6","168"]	5164
["14","7"]	5029
["21","7"]	5018
["1667"]	4916
["438","7"]	4872
["123","6,123"]	4846
["1342","168,1342","6,1342","168","6,168","6"]	4757
["83"]	4702
["14518","6801"]	4634
["3541"]	4587
["175"]	4564
["49,200","7"]	4479
["3,136","7"]	4466
["49,91"]	4399
["35","28"]	4378
["231","7","6"]	4369
["21","22","891","18","19,20","7","6,23"]	4312
["6,23,197"]	4293
["3,124","3,56","231"]	4262
["136","7"]	4245
["3,6,47","3,6,47,221","3","1985"]	4238
["64","7"]	4227
["482"]	4129
["649","537,650,2630"]	4094
["129"]	4065
["118","28"]	4052
["773,1640","628","2866","7"]	4032
["73"]	3932
["300"]	3839
["63"]	3804
["68"]	3751
["535","375,536","7"]	3738
["17952"]	3670
["58","59","57,58","58,470","57,59","59,470"]	3617
["24,29"]	3608
["808","7"]	3601
["21"]	3415
["2026"]	3360
["22"]	3356
["22","22,42","22,243"]	3356
["28,140,351","28,140,352","28,140,351,352","28,140,150,351","28,140,351,353","354","28,140,150,352","28,140,352,353","7","6"]	3308
["50"]	3300
["60"]	3207
["372","373,375","6"]	3171
["167"]	3023
["3,460","7"]	2982
["498"]	2959
["3,198","3,56","231"]	2951
["3,65,1126,3039","7"]	2921
["3,65,473,1126","7"]	2896
["47"]	2874
["3,66","66,206","3,66,369","66,206,369"]	2853
["66","1073","66,1073","212"]	2849
["59"]	2815
["929","6,23","315"]	2813
["3,65,1126","3,65,473,1126","7","6"]	2801
["3,35"]	2780
["75","7"]	2778
["64"]	2744
["3,109","7"]	2742
["3,15"]	2702
["138"]	2701
["232,243"]	2697
["2438","665,1684"]	2673
["13","7"]	2671
["131"]	2666
["3,145","7"]	2643
["3","3,21","3,596"]	2623
["190","7"]	2608
["4733"]	2570
["535","536","375,536","437,536"]	2567
["3,114"]	2559
["702"]	2523
["929","6,23","3"]	2486
["3","3,145","3,596","3,49","7"]	2430
["168","6"]	2426
["2405"]	2387
["526","6,526"]	2385
["3","231","23644"]	2381
["137"]	2349
["2677"]	2333
["3,65,197","231","3","18","389,390,1038","7"]	2275
["114"]	2272
["3,65","3,21,65","3,22,65","3,65,891","18","19","22","7","6,23"]	2271
["5188"]	2253
["480","7"]	2178
["773","3,628","2866","24","3,14,628","3,628,730","24,26"]	2156
["773","3,628","2866","24","3,47,628","24,26"]	2156
["773","3,628","2866","24","3,13,628","24,26"]	2156
["65,763","764","765,766,3015"]	2010
["149"]	2000
["452"]	1973
["1336"]	1955
["1618"]	1895
["980","120","981","982","139","215","128","138","641","427","286","983"]	1884
["3,461","7"]	1873
["49,70","7"]	1859
["3,12,13","24","24,29","7"]	1808
["65"]	1759
["1980","1981"]	1753
["148","3481"]	1728
["148","3482"]	1728
["6","168","6,23","23,168","3","665","1680","88","1667","4455"]	1721
["191"]	1721
["3,14,256,2560","257","3388","7","6"]	1696
["85"]	1694
["6","596","142","1114"]	1666
["45","1713","1732","22","1","271","572","573","501","87"]	1655
["5,6,18"]	1645
["2945"]	1626
["3,339","340","255,340","259,340","7"]	1601
["3,339","340","3,12,339","3,14,339","3,64,339","3,45,339","3,44,339","3,339,940","3,163,339","3,339,486","3,339,488","3,339,481","3,339,480","3,339,727","3,170,339","3,198,339","3,339,1039","255,340","259,340","7"]	1600
["3,65","3,21,65","3,22,65","3,65,891","18","19,20","22","7","6,23"]	1598
["294"]	1575
["124"]	1575
["3","231","7","6"]	1554
["339","340,341"]	1540
["1622"]	1522
["3,65","231","3,18,65","3,65,197","7"]	1517
["3,6,12,14","3,6,12,14,64","159","160","118","161"]	1511
["18","7"]	1509
["5054"]	1500
["14,21,45,256","257","65","24","14,21,45,201,256","13,14,21,45,256","14,21,45,256,258","14,21,22,45,256","255,257","257,259","7"]	1498
["3,65,1126","3,65,473,1126","7"]	1494
["144"]	1491
["3,66"]	1485
["370"]	1459
["6","21","18","655","681","1","572","271","142","173","24,26,28,29"]	1458
["3,136,673","66"]	1456
["87","2648","2649,2999","79","188","895","87,468","468","3","231","7"]	1446
["17964","7"]	1439
["1428","7"]	1431
["3,15,21,114","3,15,21,110,114","1","110","7"]	1407
["3,6,12,14","64","727","118","161"]	1397
["492","493,1001"]	1383
["3,12,13","24","24,26"]	1382
["3,64","7"]	1377
["151","231"]	1372
["276","3"]	1371
["106"]	1363
["65,121","1200","66,121","3,1200","231","66","65,87,121","3,65,121","24,26,29","66,87,121","3,66,121"]	1357
["3,64","3,21,64","3,14,64","24,29","7"]	1344
["268"]	1342
["116"]	1341
["3,319","13"]	1340
["241"]	1339
["486,488","2196","2223","1463","2860","507"]	1338
["2438","665,1684","6"]	1334
["2192","2193"]	1324
["3,61,62"]	1315
["3,653","7"]	1313
["3,66","3,6,66","24,29"]	1309
["3","3,14","3,64","7"]	1298
["929","3,66","231","66"]	1287
["62,143"]	1273
["510"]	1253
["2438","7"]	1252
["13,45,136","66"]	1232
["12,13,14,42,45,47,64","7"]	1218
["102"]	1218
["4772"]	1208
["18","18,66","66","7","6"]	1202
["3,65,763","764","765,766,767","3,65,763,18208","3,65,763,1031","24,26","7"]	1193
["15","3"]	1186
["8","65","66","402","3339"]	1185
["3,6","231","3,6,87"]	1180
["1609"]	1174
["65","3,65,217","231","7","259","448"]	1171
["3,13","3,56","231"]	1170
