query_shape	count
["379","66"]	10795488
["42"]	8131934
["211"]	7908283
["10"]	5552731
["146"]	3362917
["342"]	3126611
[]	2592914
["514"]	2529196
["168","6","22635"]	2092410
["24,26,29","21","7"]	1889936
["123"]	1590204
["2687","5966"]	1566433
["23644","231"]	1327385
["2690","5806"]	1291267
["173"]	1248680
["5"]	774969
["18"]	756147
["13","231","236"]	699036
["3","3,13"]	636412
["6","6,23","6,168"]	567191
["3,12,23"]	496294
["49","7"]	399430
["6"]	380765
["736"]	300829
["49","24,26","21,49","49,142","49,1618"]	281385
["3,6"]	267588
["62,143","143"]	265742
["3","231","622","201","1039","151","7"]	248895
["3,145","231","7"]	241305
["1","7"]	226142
["42","43","42,44","42,45","42,46","21,42","42,47","43,44","43,45","43,46","21,43","43,47"]	217830
["3,56","3,56,57","3,56,58","3,56,59"]	196078
["18,65","194"]	175993
["3,12,13,14"]	175194
["2447","226,2447","222,2447","235,2447","7"]	167260
["231"]	165361
["754","121","754,14191","259,6568","7"]	164725
["27","24,28,29","7"]	162306
["168"]	161662
["3","231"]	153187
["3"]	150338
["49","24,26,29"]	146648
["14,64","6,14,64","14,64,168"]	146118
["168","7"]	144157
["3,18,65,168","231","3,6,18,65","24,26,29","3,18,21,65,168","3,18,65,142,168","3,6,18,21,65","3,6,18,65,142","7"]	142555
["120"]	134155
["119","28"]	131658
["3330","7"]	128807
["231","7"]	126961
["3,56","231","7"]	119978
["3,14"]	119508
["761","6"]	113369
["12"]	111693
["3,18,168","3,6,18","231","24,26,29","3","7"]	106200
["142"]	103675
["128"]	100925
["6","6,49","6,57","6,113","7"]	97643
["2960"]	95114
["96,97,98,99,100,540,541"]	93123
["47","7"]	89896
["231","35","3","13","7"]	70025
["243","6"]	68454
["6","6,23"]	67662
["6","6,22","6,14","6,64","6,21","6,806","6,65","6,18","6,197"]	66504
["88,89","24,29","6,88,89"]	63940
["125"]	61026
["21","3,21","7"]	60236
["2627","24,26"]	59532
["483","7"]	58935
["13,124","3"]	55698
["61,62,143","143","7"]	55553
["2686","6254"]	55341
["3,168","3,42,168","3,126,168"]	51963
["1"]	51258
["1308","255,1309","255,259,1309","7"]	51228
["61"]	48919
["6,13,47,348","6,13,47,64,348"]	43091
["271"]	40994
["2447","2,2447","226,2447","222,2447","235,2447","7"]	40466
["3","7"]	39391
["3,168","6","3,23,168","3,42,168","3,126,168"]	38822
["21,61"]	38615
["572"]	38257
["18563"]	36853
["6,23,231","231","6"]	36092
["3,87","6","3,21,87","3,87,168","7"]	36091
["12,13","231"]	35485
["145,253","254","231","59,145","57,145,253","57,59,145","7"]	33622
["121","6"]	33456
["61,4079","2887"]	33318
["3,59,185","3,185","231","832","239,832","3,59,185,862","3,59,90,185","3,59,185,188","833","3,185,867","7"]	32920
["7"]	32865
["65,231","231","194","65,231,485"]	32667
["231","6,231","7"]	32637
["3,185","832","231","239,832","3,185,862","3,90,185","3,185,188","867","833","7"]	32254
["833"]	31777
["59","59,185","832","239,832"]	31776
["3,185","832","239,832","3,185,867"]	31774
["1031"]	31629
["3,6","7"]	29561
["49"]	29312
["87","7"]	27824
["6,87,142","7"]	27791
["3,265"]	26428
["66","3","231","3,66","7"]	26140
["3,370","231","3"]	25241
["3,352","231"]	24630
["3","6,56","56,596","7"]	23022
["3,6","231","7"]	22954
["3,6,17"]	22231
["980","120"]	21691
["3,6,65","194","231","443","3,6,65,379","3,6,65,868","3,6,23,65,763","764","765,766"]	21671
["64","24,26,29"]	19822
["126"]	19788
["3,211","24,26,29","3,42","3,42,211","3,21,211","3,21,42","7","6,23"]	19714
["1581"]	19634
["6,13","231","3,6"]	19177
["197"]	18910
["6,231","231","6","6,23,231"]	18004
["3,6,23","3","6"]	17810
["13792","6178","6"]	17390
["12","6"]	16824
["13579","6040"]	16385
["53","54","55"]	16062
["6,23"]	16030
["1455"]	15753
["87","23,87","87,168","24,29","7"]	15274
["23,87","7"]	14998
["3,49","7"]	14869
["5166"]	14661
["49","24,29","7"]	14196
["21","22","891","18","19","7","6,23"]	14005
["87","2648","2649,2999","79","188","895","87,468","468","3","231","7"]	13554
["3,17"]	13494
["24,26","7"]	13069
["2579","2581,7170","709","2960"]	12874
["706","707,2657","709","2960"]	12848
["569","21,569"]	12716
["3,47"]	12676
["3,47,220"]	12618
["3,47,221"]	12616
["3,6","231","3,6,87"]	12567
["3","3,602","7"]	12334
["3,339","340","3,12,339","3,14,339","3,64,339","3,45,339","3,44,339","3,339,940","3,163,339","3,339,486","3,339,488","3,339,481","3,339,480","3,339,727","3,170,339","3,198,339","3,339,1039","3,339,350","7"]	12309
["2240","3,2364","3,1297","7"]	12156
["3,339","340","340,9073","773","1640","340,9164","340,599","340,600","7"]	12035
["480","7"]	11854
