query_shape	count
["5"]	4488624
["5,8","5,17,18","5,17,19","5,18,20","5,19,20","5,18,21","5,19,21","5,14,17,18","5,8,17,18","5,17,18,22","5,14,17,19","5,8,17,19","5,17,19,22","5,14,18,20","5,8,18,20","5,18,20,22","5,14,19,20","5,8,19,20","5,19,20,22","5,14,18,21","5,8,18,21","5,18,21,22","5,14,19,21","5,8,19,21","5,19,21,22"]	1971988
["8","2,8"]	1103909
["8","8,9","8,10","2,8","8,11,12","8,13","8,14","8,15","8,16","2","11,12","13","14","15","16"]	372494
["2"]	245158
["8"]	235923
["8","8,11,12"]	205432
["8","2,8","5,8","8,16"]	112856
["3"]	112413
["52"]	91914
["1523"]	84039
["2,8,16","8,38","8,52"]	82715
["1"]	77671
["14,44,71"]	68568
["12"]	44806
["11"]	44605
["401","149"]	44054
["591","35","2963","1403"]	44023
["1290","1129"]	44011
["1094","501"]	43987
["40"]	43830
["14990","794","237"]	43639
["37","5,8"]	34092
["31"]	32299
["45"]	31296
["5","31"]	29443
["43"]	28929
["370"]	23140
["2,3,13,316"]	22770
["13"]	21999
["5","5,43"]	21802
["16"]	19246
["31","45"]	18711
["95"]	17501
["5,8,51"]	16842
["240","247","30","1007","6","31","183","720"]	16302
["95","8"]	14917
["8,16","4,8,16,101,102"]	14648
["44"]	14124
["5","8"]	13374
["11,12"]	12695
["8","1,8"]	12155
["13543","8,13543"]	11761
["17","8,17"]	11761
["13544","8,13544"]	11761
["13546","8,13546"]	11761
["153","8,153"]	11761
["13545","8,13545"]	11760
["52","8,52"]	11760
["153"]	10811
["5","5,677"]	10727
["13545"]	10178
["17"]	10078
["8,16"]	9809
["13546"]	9246
["13544"]	9246
["13543"]	9243
["38"]	8936
["5,24"]	8702
["5,24,63"]	8636
["5","5,8"]	8240
["750","5","8,750","5,8"]	8188
["171"]	8097
["1,2,5,8","1,2,5,8,16"]	7934
["69","70","72","50","120","187"]	7774
["5,8"]	7743
["1630"]	7347
["282"]	7310
["12465"]	7300
["1214"]	7269
["5,24,36"]	7262
["225"]	7262
["20289"]	7233
["20287"]	7218
["2494"]	7169
["20292"]	7107
["20295"]	7070
["1279"]	7024
["2490"]	7017
["564"]	6531
["36"]	6353
["5,8","8,52"]	6279
["721"]	6245
["63"]	6167
["19815"]	6166
["3030"]	6033
["20288"]	6023
["15065"]	5992
["20291"]	5990
["1912"]	5977
["1240"]	5940
["20296"]	5922
["2489"]	5909
["20286"]	5905
["1204"]	5903
["15195"]	5901
["20298"]	5893
["2493"]	5888
["1239"]	5884
["1610"]	5868
["2487"]	5866
["1393"]	5853
["1248"]	5834
["20073"]	5828
["20290"]	5814
["20294"]	5768
["13054"]	5747
["2572"]	5711
["106"]	5708
["71"]	5701
["20293"]	5691
["20285"]	5690
["2205"]	5645
["69","70","72","50","120"]	5180
["100"]	5138
["20"]	4937
["2,8"]	4677
["44","13","14"]	4675
["8,26","8","8,27","8,28","8,29","24,26","24,27","24"]	4650
["8,28","5,8,36","8,29","8","5,8,26,36","5,8,27,36","24,28","24,29","24"]	4596
["166"]	4502
["8,31"]	4284
["131"]	4191
