query_shape	count
["733"]	50533
["3,6"]	46531
["21","22","891","18","19","7","6,23"]	14160
["96,97,98,99,100,540,541"]	14060
["569","21,569"]	9433
["3","231","23644"]	8276
["96,97,99,100"]	8169
["142","24,29","7"]	5692
["1"]	5472
["1,450"]	4850
["3","7"]	4310
["165,167","21,165,167","165,167,252","7"]	4284
["231"]	3371
["3"]	3053
["21","22","891","18","19,20","7","6,23"]	3003
["929","6,23","315"]	2985
["929","6,23","3"]	2828
["24,29"]	2661
["13,47,338","65"]	2076
["57,718","56,57","21,57,718","57,252,718","21,56,57","56,57,252","7"]	2007
["53","7"]	1985
["8","65","66","402","3339"]	1962
["18821","24"]	1954
["49"]	1750
["231","7"]	1613
["3","3,14","3,64","7"]	1503
["21832,21834"]	1463
["1622"]	1457
["3,38","231","39,40,2415","1640","537","9376","9418","3","7"]	1347
["151","231"]	1344
["107"]	1291
["205"]	1288
["3","231"]	1205
["102"]	1158
["3","18","389,390","7"]	1142
["78"]	1070
["56","6","3,56","56,57","56,330","56,135","7"]	1057
["3,18","3,18,165","3,18,21","3,18,252","7"]	1041
["413","56","57,288","104","59","7"]	1029
["6,413","3,56,57,330","3,56,57,175,330","6,104","59"]	1026
["56,57","3,637","6,56,57,330"]	1019
["56,135","6","6,922"]	1012
["328","329","6","255,329","259,329","306,329","7"]	999
["302","304","6","305","303","6,21","255,304","259,304","304,306","255,305","259,305","305,306","7"]	998
["6,56,370","6","56,370"]	997
["14"]	996
["3","231","7"]	992
["56","57,288"]	991
["6","21","18","655","681","1","572","271","142","173","24,26,28,29"]	972
["370","3","231","59","2137","7"]	963
["165","1168","57","190"]	957
["64"]	915
["3,316","3","231","13","24,26"]	902
["2982"]	902
["637","1977","978","4357","4380","1149","682","238"]	898
["683","1291"]	894
["113,228"]	890
["1328","89,1121,1680"]	884
["28"]	873
["72"]	865
["288"]	856
["6,413","56,57","288","56,57,175","6,104","59"]	840
["71"]	827
["135"]	780
["13,47"]	760
["35"]	745
["12","6"]	743
["229"]	741
["21832"]	731
["3,6","6"]	731
["7"]	695
["56","173","7"]	666
["549"]	658
["57,288","56"]	654
["79","24,26,29","79,142","3,79","7"]	640
["6"]	637
["3","231","3,488","3,486","3,14","3,64","3,12","7"]	545
["3505"]	532
["18","18,66"]	530
["2403"]	529
["3","6"]	516
["3,21"]	493
["151","21,151","22,151","151,891","18","19","7","6,23"]	483
["59","7"]	463
["135","288"]	461
["3","3,21","7"]	461
["752"]	456
["135","57,135","56,135","6","7"]	437
["3,253","179","3,21,253","21","14","64","18","2131","7"]	419
["3,207","3,171,207","3,21,207","3,14,207","3,64,207","209","2131","7"]	419
["6","21","23"]	407
["112","28"]	396
["3,14","3,14,64","3,14,221","3,14,220","3,14,45","3,12,14","3,14,21","7"]	392
["1328","88,89,168,231,1121,1214,1965,1966","88,89,168,231,1121,1214,1667,1680,1965,1966,1967","88,89,168,231,1121,1214,1678,1965,1966","1968","7"]	372
["929","6,23","13"]	361
["3,15,21"]	346
["199"]	342
["18,65,1481","7"]	340
["3,6,23","3,6,21,23"]	339
["3,64","3,14,64","3,44,64","3,64,221","3,64,220","3,45,64","3,12,64","3,21,64","7"]	339
["6","24,26","6,106","6,42","6,21","6,173","6,574","6,575"]	338
["929","6,23","65"]	336
["24","18"]	330
["3,65","7"]	319
["2205","14942","66,2205","21,2205","3,2205","66,14942","21,14942","3,14942","18","2131","7"]	308
["204"]	301
["210"]	300
["3,18,66","7"]	299
["62,143","7"]	297
["211","23,211","7"]	295
["370"]	295
["13","7"]	282
["929","6,23","47"]	258
["14","6,14"]	255
["3,66","7"]	253
["143","7"]	253
["21"]	252
["3,65","3,65,165","3,18,65","3,21,65","7"]	252
["227"]	250
["3","231","3,21","3,22","3,891","18","19","7","6,23"]	249
["298","23,298","7"]	249
[]	247
["18","389,390"]	246
["929","66,151","3","231","66","3,18","7","6"]	246
["151","4400","21,151","22,151","151,891","21,4400","22,4400","891,4400","18","19","7","6,23"]	245
["480","7"]	245
["88,240","3373","231,510","88,1121,1214,1965,1966","376,3373","476","10","7"]	235
["929","6,23","66"]	233
["1667,2903","376,5848","6,3493","476","377","7"]	228
["1667,2696","376,437,2697","476","3317","454","231,454","231","376,437,6027","376,437,6021","1667,13498","1667,13584","12695","453,454","231,453,454","7"]	228
["622","7"]	224
["664,1667,2832","89,665","376,437","476","10","6","7"]	223
["769"]	212
["231","96,97,98,99,100,540,541","7"]	210
["352","7"]	209
["7","143","21","21,143"]	206
["372","373,375","21,372","7"]	206
["12,13","7"]	204
["42"]	204
["622","24,29","7"]	202
["3,348","7"]	202
["3,6","231"]	200
["929","6,23","231"]	198
["49","7"]	198
["3","231","6"]	192
["1065"]	192
["295","7"]	189
["929","14","173","413","229","104","59","56","7"]	187
["2774"]	187
["413","1625","239,2086","57,288","104","59","7"]	185
["1463,1495","1623","2860","1463"]	185
["3,21,450","231","3,15,21,450","3,21,165,450","7"]	184
["1495","1623","1463","2860"]	184
["6,18","6,18,21","6,18,142"]	182
["126"]	181
["14","7"]	178
["2205","66,2205","3,2205","18","2131","21","7"]	177
["3","231","3,637","3,113","3,6"]	175
