query_shape	count
["379","66"]	10249455
["42"]	8218365
["649","537,650,2630"]	8088836
["211"]	8049744
["342"]	3176074
[]	2984651
["514"]	1842875
["23644","231"]	1550105
["3"]	1091451
["18"]	756414
["146"]	716432
["13","231","236"]	701088
["10"]	660052
["5"]	657722
["3","3,13"]	621308
["3,12,23"]	533021
["3,6","231","7"]	433562
["13643","6062"]	371947
["6","6,23","6,168"]	347542
["123"]	338442
["2687","5966"]	295012
["49","24,26","21,49","49,142","49,1618"]	276080
["6"]	268653
["62,143","143"]	265849
["2690","5806"]	253995
["173"]	253263
["14,64","6,14,64","14,64,517"]	251573
["42","43","42,44","42,45","42,46","21,42","42,47","43,44","43,45","43,46","21,43","43,47"]	236550
["6","7"]	228163
["27","24,28,29","7"]	180973
["3,145","231","7"]	180442
["18,65","194"]	175529
["3,12,13,14"]	175130
["1308","255,1309","255,259,1309","7"]	167344
["1","7"]	155010
["3,56","3,56,57","3,56,58","3,56,59"]	153094
["3","231"]	144220
["120"]	136526
["3,265"]	135499
["49","7"]	127994
["119","28"]	127699
["754","121","754,14191","259,6568","7"]	127566
["3330","7"]	126466
["49","24,26,29"]	122495
["12"]	122368
["6,13,47,348","6,13,47,64,348"]	119761
["96,97,98,99,100,540,541"]	114857
["13401","5870"]	113704
["3","231","622","201","1039","151","7"]	112389
["3,18,65,168","231","3,6,18,65","24,26,29","3,18,21,65,168","3,18,65,142,168","3,6,18,21,65","3,6,18,65,142","7"]	99156
["3,56","231","7"]	97610
["3,733","7"]	95558
["142"]	92226
["87","7"]	90337
["6","6,23"]	82415
["761","6"]	81750
["3,18,168","3,6,18","231","24,26,29","3","7"]	81719
["13445","5939"]	80941
["13362","5927"]	80937
["87","501"]	80889
["3,6"]	79775
["231","7"]	79769
["24,26,29","21","7"]	79205
["733"]	71665
["23"]	69955
["13"]	69702
["88,89","24,29","6,88,89"]	65698
["125"]	62041
["21","3,21","7"]	60010
["2686","6254"]	59658
["231","35","3","13","7"]	59227
["49"]	53734
["3","231","3,219","65","3,586"]	52551
["61,62,143","143","7"]	52478
["1"]	50360
["243","6"]	48826
["6","6,126","7"]	45535
["3","7"]	44169
["271"]	41608
["2627","24,26"]	39897
["507"]	39628
["572"]	38942
["21,61"]	38616
["12,13","231"]	35488
["128"]	27838
["14,64","6,14,64","14,64,168"]	27338
["45","44","66","6","18"]	26489
["66","3","231","3,66","7"]	25376
["231"]	24348
["980","120"]	23707
["61,4079","2887"]	22791
["121","6"]	22597
["7"]	21895
["3,59,185","3,185","231","832","239,832","3,59,185,862","3,59,90,185","3,59,185,188","833","3,185,867","7"]	21591
["3,185","832","231","239,832","3,185,862","3,90,185","3,185,188","867","833","7"]	21423
["87"]	21341
["1031"]	21249
["3,185","832","239,832","3,185,867"]	21200
["59","59,185","832","239,832"]	21199
["833"]	21199
["34"]	20767
["4"]	20370
["126"]	20082
["64","24,26,29"]	19988
["1581"]	19443
["13251","5835"]	19229
["77"]	18836
["1575"]	18301
["3,352","231"]	17416
["3,6,17"]	16819
["3","3,168","3,6"]	15928
["1455"]	15628
["3,124","7"]	15534
["3","231","23644"]	15453
["6,13","231","3,6"]	15449
["21","45","6","44","64","13"]	15346
["94"]	15118
["3,87","6","3,21,87","3,87,168","7"]	14953
["2688","2689","6"]	14529
["16"]	14231
["24","1031"]	14183
["18501"]	14167
["21","22","891","18","19","7","6,23"]	14160
["91"]	14088
["45","6","44","66","6,18","6,66"]	13941
["2859"]	13771
["3,17"]	13511
["35"]	13452
["70"]	13383
["3,47"]	12827
["76"]	12814
["3,47,220"]	12784
["3,47,221"]	12769
["263"]	12119
["12","6"]	12074
["22"]	11991
["17949"]	11970
["2406"]	11452
["3,339","340","3,12,339","3,14,339","3,64,339","3,45,339","3,44,339","3,339,940","3,163,339","3,339,486","3,339,488","3,339,481","3,339,480","3,339,727","3,170,339","3,198,339","3,339,1039","3,339,350","7"]	11332
["3,339","340","340,9073","773","1640","340,9164","340,599","340,600","7"]	11288
["569","21,569"]	11174
["3,370","231","3"]	11137
["3,211","24,26,29","3,42","3,42,211","3,21,211","3,21,42","7","6,23"]	10965
["1301","6,1301"]	10927
["3,6","7"]	10791
["217","218","7","259","448"]	10692
["22","22,42","22,243"]	10543
["56","56,370","56,57","10,56","56,123","7"]	10498
["3,449,450,626","773,1640","1639","3,64,449,450,626","3,449,450,626,919","45","66","510"]	10248
["3,449,450,628","773,1640","2866","3,449,450,628,919"]	10247
["3,45,449,450,626","773,1640","1639","66","510","3,45,64,449,450,626","3,45,449,450,626,919"]	10246
["3,449,450,626","773,1640","1639","3,449,450,626,919"]	10241
["3,449,450,628","773,1640","2866","3,449,450,628,919","45","66","510"]	10210
["3,45,449,450,628","773,1640","2866","66","510","3,45,449,450,628,919"]	10210
["88"]	10199
["521","12,14,44,45,64,136,521","7"]	10160
["122"]	10065
["229"]	9999
["66","1073","66,1073","24044"]	9077
["416,492","493","66,416,492","66","59","336","59,66","66,336","17819","66,17819","416,492,763","764","765,766","15,416,492","416,492,663","66,416,492,763","15,66,416,492","66,416,492,663","59,763","15,59","59,663","59,66,763","15,59,66","59,66,663","336,763","15,336","336,663","66,336,763","15,66,336","66,336,663","763,17819","15,17819","663,17819","66,763,17819","15,66,17819","66,663,17819","7"]	8770
["32"]	8628
["64"]	8521
["96,97,99,100"]	8169
["3,65"]	8157
["68"]	8138
["15"]	8020
["1311"]	8015
["12,47","24","24,29"]	7918
["3,6,47","3,6,47,221","3","1985"]	7844
["67"]	7587
["472"]	7574
["18821","24"]	7532
["17965"]	7477
["1,450"]	7391
["17957"]	7188
["13579","6040"]	7186
["69"]	6976
["197"]	6957
["73"]	6900
["142","24,29","7"]	6848
["59","7"]	6801
["121"]	6799
["3,45","66"]	6786
["3,45,220","66"]	6758
["3,45,221","66"]	6758
["3541"]	6435
["22003"]	6234
["298"]	6213
["3,194","65,379","6,65,379","65,379,1492"]	6181
["3,194","3,6,194","3,194,1492"]	6172
["3,65","231"]	6099
["175"]	6020
["17951"]	5970
["3003"]	5960
["28,140","28,140,351","28,140,352","28,140,150","28,140,353","354","7","6"]	5852
["3","3,14,64","7"]	5843
["87","2648","2649,2999","79","188","895","87,468","468","3","231","7"]	5677
["2405"]	5631
["14"]	5587
["17956"]	5585
["61","62","24,26","61,143","143"]	5582
["596"]	5506
["6,13","7"]	5401
["3","231","7"]	5373
["24,26,29"]	5335
["1311","21,1311"]	5327
["156"]	5223
["3,13","7"]	5131
["108"]	5067
["6,23,197"]	5005
["28"]	5000
["127"]	4993
["750"]	4787
["574"]	4668
["83"]	4537
["231","7","6"]	4385
["14","7"]	4345
["21","7"]	4302
["165,167","21,165,167","165,167,252","7"]	4284
["2658","2659","6"]	4230
["3,699","231"]	4214
["3,49","7"]	4090
["21"]	4081
["3,65","7","16603"]	4059
["118","28"]	4056
["773,1640","628","2866","7"]	4030
["18,65","7"]	4028
["129"]	4026
["521","136,521","109,521","57,521","141,521","7"]	4004
["3,65,1126","3,65,473,1126","7","6"]	3977
["2240","3,2364","3,1297","7"]	3971
["64","7"]	3804
["136"]	3663
["61"]	3621
["3,77","231"]	3588
["482"]	3507
["28,140,351","28,140,352","28,140,351,352","28,140,150,351","28,140,351,353","354","28,140,150,352","28,140,352,353","7","6"]	3480
["1126","7"]	3405
["58","59","57,58","58,470","57,59","59,470"]	3387
["17952"]	3347
["49,200","7"]	3325
["1618"]	3235
["60"]	3223
["253","254","231"]	3211
["231","3","24","7"]	3143
["50"]	3140
["452"]	3038
["21","22","891","18","19,20","7","6,23"]	3003
["3,65,473,1126","7"]	2996
["929","6,23","315"]	2985
["3,831","6","7"]	2978
["24,29"]	2904
["3,66","66,206","3,66,369","66,206,369"]	2855
["3,65,1126,3039","7"]	2845
["63"]	2840
["14721","7241","6,14721"]	2839
["3,124","3,56","231"]	2838
["929","6,23","3"]	2828
["3,35"]	2826
["66","1073","66,1073","212"]	2821
["498"]	2765
["138"]	2740
["3,15"]	2736
["65,231","231","194","65,231,485"]	2720
["12","45","47","198","21","7"]	2710
["167"]	2707
["131"]	2685
["1311","1,1311","572,1311","271,1311","21,1311"]	2669
["24","18"]	2637
["3","3,602","7"]	2636
["3,114"]	2618
["42","42,136","42,109","42,57","42,141","7"]	2588
["56","7"]	2574
["446"]	2525
["5188"]	2518
["4733"]	2518
["3,66","3,6,66","24,29"]	2460
["702"]	2443
["231","21,231","59","624","7"]	2419
["137"]	2357
["24,26","7"]	2356
["114"]	2356
["1609"]	2343
["2196","259,2223","255,259,2223"]	2338
["438"]	2330
["13","7"]	2322
["59"]	2288
["1065"]	2245
["190","7"]	2238
["3,6,65,379","194","231","443","3,6,65,379,868","3,6,23,65,379,763","764","765,766","379"]	2141
["3,64","7"]	2082
["13,47,338","65"]	2076
["47,626","1639","773,1640","7"]	2074
["2982"]	2051
["191"]	2051
["149"]	2041
["773","3,628","2866","24","3,14,628","3,628,730","24,26"]	2028
["773","3,628","2866","24","3,47,628","24,26"]	2028
["773","3,628","2866","24","3,13,628","24,26"]	2028
["57,718","56,57","21,57,718","57,252,718","21,56,57","56,57,252","7"]	2007
["6,231","7"]	1988
["53","7"]	1985
["3,211","3,42"]	1962
["8","65","66","402","3339"]	1962
["1336"]	1957
["2147"]	1944
["281","6,281","24,29"]	1941
["2148"]	1933
["75","7"]	1903
["227"]	1888
["3,12,13","24","24,29","7"]	1846
["929","3,66","231","66"]	1843
["168","6"]	1837
["1980","1981"]	1795
["85"]	1790
["148","3481"]	1771
["148","3482"]	1771
["168"]	1761
["135"]	1758
["35","28"]	1753
["492","493,1001"]	1720
["2945"]	1682
["65,121","1200","66,121","3,1200","231","66","65,87,121","3,65,121","24,26,29","66,87,121","3,66,121"]	1682
["13495","259,5904","255,259,5904"]	1673
["3,6","231","443","379"]	1668
["3","231","443","3,168","379"]	1668
["3","231","443","24,29","379"]	1645
["5171","6,5171"]	1639
["3,198","3,56","231"]	1594
["339","340,341"]	1592
["3,65","7"]	1587
["124"]	1576
["399"]	1571
["113,228"]	1563
["24","87","501"]	1533
["3,339","340","255,340","259,340","340,599","186,340","340,600","187,340","340,988","239,340"]	1513
["3","3,14","3,64","7"]	1503
["3,6,12,14","3,6,12,14,64","159","160","118","161"]	1480
["1622"]	1465
["21832,21834"]	1463
["3,49","24"]	1462
["1435"]	1454
["3,136,673","66"]	1453
["510"]	1431
["3,66"]	1427
["106"]	1427
["294"]	1426
["119","119,845","24","7"]	1416
["62,143"]	1412
["3,6,12,14","64","727","118","161"]	1402
["3,339","340","3,12,339","3,14,339","3,64,339","3,45,339","3,44,339","3,339,940","3,163,339","3,339,486","3,339,488","3,339,481","3,339,480","3,339,727","3,170,339","3,198,339","3,339,1039","255,340","259,340","7"]	1400
["3,12,13","24","24,26"]	1387
["486,488","2196","2223","1463","2860","507"]	1383
["241"]	1376
["151","231"]	1373
["116"]	1372
["268"]	1358
["3,339","340","255,340","259,340","7"]	1350
["3,38","231","39,40,2415","1640","537","9376","9418","3","7"]	1347
["3,64","3,21,64","3,14,64","24,29","7"]	1344
["144"]	1343
["18","18,66","66","7","6"]	1309
["107"]	1291
["429"]	1289
["205"]	1288
["49,70","7"]	1276
["321","6,321"]	1267
["169"]	1266
["5054"]	1261
["382"]	1261
["4596"]	1259
