query_shape	count
["910","100,910"]	2010
["152","100,152"]	2010
["14","14,100"]	2010
["13087","22335"]	1973
["810"]	1960
["5,24","17","3,5"]	1951
["5,8,2326"]	1778
["24,31"]	1742
["3,4,5,7","3"]	1724
["5,14","5"]	1720
["45","5","31"]	1712
["1151"]	1711
["1435"]	1698
["20"]	1681
["5,233","5"]	1674
["2082"]	1662
["36,98,284"]	1650
["5,8,31","8"]	1642
["16","37","36","68","3","284"]	1617
["2677"]	1617
["2,5,8","2,5,8,16","2,5,8,342","2,5,8,157","2,5,8,401","2,5,8,2510","2,5,8,1154","2,5,8,169","2,5,8,1069","2,5,8,752","2,5,8,402","2,5,8,1290","2,5,8,23435","2,5,8,794"]	1613
["8,31","8"]	1603
["8","90"]	1585
["5,189","5"]	1532
["5,284","5"]	1530
["2","2,16","2,980","2,15","2,152","2,71","2,8"]	1522
["5,69","5"]	1520
["5,70","5"]	1507
["1,2,16","2,8,16","2,16","8,52"]	1492
["15203"]	1480
["677"]	1475
["43","14,43","1,43","43,169","24"]	1474
["5,36","5"]	1473
["5,72","5"]	1468
["2,8","2,8,16","2,8,83","2,8,1130","2,8,56","2,8,2377","2,8,57","2,8,170","2,8,34720","2,8,68","2,8,1039","2,8,408"]	1463
["5,145","5"]	1456
["5,73","5"]	1452
["503"]	1434
["1644","8,16"]	1434
["131","8"]	1433
["5,62","5"]	1425
["5,68","5"]	1340
["1,11,12"]	1338
["65","8"]	1332
["5,37","5"]	1314
["1681"]	1311
["2,5"]	1279
["5,98","5"]	1269
["5,8","90"]	1245
["2,5,8","226","2,5,8,16"]	1241
["5,52","5"]	1241
["5,8,92"]	1238
["2","71","15","86","208","824","674","759","13186","157","721","1954","19290","1236","19291","11","12"]	1223
["5,16,24"]	1218
["5,8,44,317","5,8,44,416","5,8,44,106","5,8,44,71,317","5,8,13,44,317","5,8,44,71,416","5,8,13,44,416","5,8,44,71,106","5,8,13,44,106","5"]	1206
["5,50","5"]	1156
["189"]	1153
["1,2,13"]	1153
["19838"]	1108
["225"]	1087
["5,100","5"]	1077
["5,120","5"]	1076
["71,225"]	1037
["11,12,31"]	1030
["5,1793","5"]	1026
["52","44"]	1019
["5,569","5"]	1015
["8,15"]	1014
["8,31,129","8","8,31,120,129","8,31,36,129"]	1009
["5,11,12"]	987
["147"]	963
["51","5,8"]	956
["37","144","383","1282"]	954
["5,49","36","44","98","34328","34329","129"]	949
["5,82","5"]	945
["8","71","16","52","2"]	944
