query_shape	count
["379","66"]	9829519
["10"]	3834965
[]	3746444
["13","231","236"]	2620755
["1308","255,1309","255,259,1309","7"]	2301377
["42"]	1959860
["211"]	1913094
["23644","231"]	1874980
["6"]	1385016
["514"]	1298105
["146"]	1178040
["6","6,168"]	893494
["5"]	804316
["61,4079","2887"]	765033
["342"]	751196
["24,26,29","21","7"]	639577
["13401","5870"]	610219
["3,12,23"]	561818
["24,592","3,14"]	525058
["123"]	524440
["2687","5966"]	485961
["13251","5835"]	472674
["173"]	468746
["14963","7452"]	438699
["231","7"]	383137
["13643","6062"]	374907
["2690","5806"]	369658
["13"]	338418
["3,56","3,56,57","3,56,58","3,56,59"]	334117
["23"]	329909
["6","6,23"]	309462
["483","7"]	294547
["18"]	286142
["49","24,26","21,49","49,142","49,1618"]	281712
["3","3,13"]	274110
["3,6"]	268781
["1","7"]	254821
["3,168,2469","3,23,168,2469","3,42,168,2469","3,126,168,2469","3,168,211,2469"]	253890
["2599"]	249048
["62,143","143"]	233244
["14,64","6,14,64","14,64,168"]	232373
["3,6,47,220,221","6","24,26,29"]	231690
["649","537,650,2630"]	231036
["3,145","231","7"]	229585
["24,26,28,592","161","704","3","231","14,161","64,161","12,161","45,161","6","65","194","45","65,161","3,14","3,64","3,12","3,45","3,65"]	223854
["3,265"]	197734
["49","7"]	196555
["168"]	185024
["3,145","7","6"]	183643
["1667"]	181043
["119","28"]	176475
["27","24,28,29","7"]	167094
["3330","7"]	164986
["13,14,21,169,1089","7"]	158692
["18,65","194"]	157631
["3,12,13,14"]	153348
["427"]	150697
["7"]	141302
["3,18,65,168","231","3,6,18,65","24,26,29","3,18,21,65,168","3,18,65,142,168","3,6,18,21,65","3,6,18,65,142","7"]	138874
["3,14"]	135516
["49","24,26,29"]	135139
["3,56","231","7"]	126929
["61"]	112136
["3"]	106729
["510","7"]	102035
["3,18,168","3,6,18","231","24,26,29","3","7"]	100992
["23223"]	94397
["57"]	79970
["231","35","3","13","7"]	79778
["6,14","6,14,64","6,14,47","6,13,14","7"]	74721
["88,89","24,29","6,88,89"]	74671
["231","6,231"]	69337
["21,23"]	67211
["65","66","656","1329","47","7"]	66263
["13624","5992"]	65697
["145","7"]	65214
["16457","8722"]	59890
["21","3,21","7"]	59691
["126"]	59672
["3","231"]	59293
["24,26,28,592","3","704","231","3,57","3,56","6","3,466","3,268"]	56552
["231","3","24","7"]	49575
["65","7"]	48991
["231"]	46203
["372","373","3","231","373,375","373,374","7"]	45091
