query_shape	count
["14,21,45,256","257","65","24","14,21,45,201,256","13,14,21,45,256","14,21,45,256,258","14,21,22,45,256","255,257","257,259","7"]	5264
["2688","2689","6"]	5092
["50"]	5078
["59","336","59,66","66","66,336","59,763","764","765,766","59,66,763","336,763","66,336,763","7"]	4923
["28,140","28,140,351","28,140,352","28,140,150","28,140,353","354","7","6"]	4849
["129"]	4695
["60"]	4667
["3","66","18","637","113","165","7"]	4636
["21","22","18","19,20","7","6,23"]	4503
["929","510","7"]	4372
["929","59","7"]	4368
["812","7"]	4287
["1336"]	4227
["3","66","18","637","7"]	4225
["191"]	4156
["137"]	4144
["118"]	4060
["59","110"]	4048
["702"]	4045
["773,1640","628","2866","7"]	4032
["24,29"]	3921
["63"]	3913
["2405"]	3731
["3541"]	3620
["92","7"]	3445
["131"]	3357
["3,339","340","3,12,339","3,14,339","3,64,339","3,45,339","3,44,339","3,339,940","3,163,339","3,170,339","3,198,339","3,339,1039","255,340","259,340","340,599","340,600","7"]	3324
["3,219","231","3,219,831","7"]	3284
["3,75"]	3260
["85"]	3157
["13586","5894"]	3081
["497"]	3060
["138"]	3057
["2169"]	3023
["123"]	3018
["28,140,351","28,140,352","28,140,351,352","28,140,150,351","28,140,351,353","354","28,140,150,352","28,140,352,353","7","6"]	3014
["598","7"]	2986
["78"]	2979
["13445","5939"]	2899
["13362","5927"]	2878
["88,1121"]	2872
["880"]	2824
["2183"]	2804
["3,3142"]	2799
["24,26,29"]	2778
["3,614"]	2773
["3,64","7"]	2767
["3,66","66,206","3,66,369","66,206,369"]	2759
["498"]	2749
["165","7"]	2715
["167"]	2714
["3,35"]	2691
["149"]	2687
["510"]	2684
["3,908"]	2607
["900","7"]	2581
["219,831","7"]	2565
["66","1073","66,1073","212"]	2557
["625","7"]	2546
["732","7"]	2537
["56","7"]	2536
["1667"]	2476
["903","7"]	2460
["3,15"]	2445
["3,6,47","3,6,47,221","3","1985"]	2430
["3","49"]	2427
["79","7"]	2418
