query_shape	count
["42"]	8404339
["211"]	8290738
["379","66"]	7600632
["146"]	5706747
["514"]	3446687
["10"]	3252888
["342"]	3243396
["123"]	2761797
["2687","5966"]	2676925
["173"]	2161020
["2690","5806"]	1929577
["2686","6254"]	1381612
[]	927775
["929","45","65,763","764","765,766","65,66,763","66","7","6,23","6"]	818434
["18"]	734826
["47"]	713940
["61"]	709332
["5"]	620627
["231"]	458524
["13251","5835"]	392238
["14,64","6,14,64","14,64,517"]	346477
["121","7"]	338010
["535","2618","708,709"]	336571
["23644","231"]	320660
["13","231","236"]	313142
["3,6","231","3,6,87"]	275008
["1308","255,1309","255,259,1309","7"]	268386
["62,143","143"]	265760
["649","537,650,2630"]	265346
["538","2855","708,709"]	263109
["2579","2581","708,709"]	240504
["18,65","194"]	218554
["3,12,23"]	216806
["61,4079","2887"]	204589
["706","707","708,709"]	186468
["3,18,65,168","231","3,6,18,65","24,26,29","3,18,21,65,168","3,18,65,142,168","3,6,18,21,65","3,6,18,65,142","7"]	177463
["3,12,13,14"]	175311
["23"]	171153
["27","24,28,29","7"]	167545
["154","42,154","21,154","42","21,42"]	166599
["1","7"]	165805
["3,168","231","3,87,168"]	152495
["952","24,26,29,592","7"]	139838
["3,145","231","7"]	139837
["120"]	137044
["3,6","231"]	136425
["49"]	133300
["3,18,168","3,6,18","231","24,26,29","3","7"]	129196
["42","43","42,44","42,45","42,46","21,42","42,47","43,44","43,45","43,46","21,43","43,47"]	128069
["2443"]	125969
["12"]	124337
["3330","7"]	117464
["2648","2649,2999","7"]	112284
["87","2648","2649,2999","79","188","895","87,468","468","7"]	111330
["231","35","3","13","7"]	108415
["3","231","622","201","1039","151","7"]	108280
["712","713","708,709"]	105140
["3"]	92244
["6"]	82786
["2488","2489","708,709"]	82661
["87","2648","2649,2999","79","188","895","87,468","468","3","231","7"]	81836
["142"]	77588
["3,87","6","3,21,87","3,87,168","7"]	67827
["88,89","24,29","6,88,89"]	66246
["3,49","3,49,145","3,49,136","3,49,57","3,49,461","3,49,855","3,49,1236","3,49,109","3,49,370","3,49,596"]	65409
["125"]	63334
["49","24,26,29"]	59310
["13643","6062"]	55946
["482"]	55734
["14234","5473","708,709"]	50786
["1"]	50134
["64"]	50078
["87"]	49499
["14673","5509","708,709"]	48865
["24,26,29"]	47444
["3,56","231","7"]	47386
["6","168"]	46627
["271"]	46288
["14441","5535","708,709"]	46025
["572"]	43730
["1618"]	43052
["300"]	41328
["3,6","3,6,185","186","187","3,6,188","3,6,90","7"]	40476
["119"]	40325
["21,61"]	38616
["14087","5471","708,709"]	37893
["3,6,17"]	35964
["12,13","231"]	35538
["14349","5539","708,709"]	35090
["49","7"]	34406
