query_shape	count
["2"]	951103
["8"]	912259
["8","8,9","8,10","2,8","8,11,12","8,13","8,14","8,15","8,16","2","11,12","13","14","15","16"]	496072
["5,31","45"]	387119
["5,8","5,17,18","5,17,19","5,18,20","5,19,20","5,18,21","5,19,21","5,14,17,18","5,8,17,18","5,17,18,22","5,14,17,19","5,8,17,19","5,17,19,22","5,14,18,20","5,8,18,20","5,18,20,22","5,14,19,20","5,8,19,20","5,19,20,22","5,14,18,21","5,8,18,21","5,18,21,22","5,14,19,21","5,8,19,21","5,19,21,22"]	286753
["45"]	285797
["5,8"]	228091
["8,52"]	204112
["8,10"]	202988
["8,38"]	202689
["8","8,11,12"]	188810
["9","5,8","5,8,41","5,8,42","3,5,8","5,8,40","5,8,24","1,5,8","5,8,43","5,8,40,41","5,8,41,42","1,5,8,41","5,8,41,43","5,8,40,42","1,5,8,42","5,8,42,43","3,5,8,41","3,5,8,40","3,5,8,42","1,3,5,8","3,5,8,43","1,5,8,40","5,8,40,43","5,8,24,41","5,8,24,40","5,8,24,42","1,5,8,24","5,8,24,43"]	173484
["5"]	148235
["31","45","45,677","677"]	123140
["52"]	112262
["3,4,5,8","8","3","3,5,8,136","3,4,5,7,8","3,5,7,8,136"]	106699
["5,8","8,56","5,8,57","8,56,57","3,5,8","3,8,56","5,8,24","8,24,56","1,5,8","1,8,56","5,8,58,59","5,8,60,61","5,8,11,12","5,8,43","8,56,58,59","8,56,60,61","8,11,12,56","8,43,56","5,8,57,58,59","5,8,57,60,61","5,8,11,12,57","1,5,8,57","5,8,43,57","8,56,57,58,59","8,56,57,60,61","8,11,12,56,57","1,8,56,57","8,43,56,57","3,5,8,58,59","3,5,8,60,61","3,5,8,11,12","1,3,5,8","3,5,8,43","3,8,56,58,59","3,8,56,60,61","3,8,11,12,56","1,3,8,56","3,8,43,56","5,8,24,58,59","5,8,24,60,61","5,8,11,12,24","1,5,8,24","5,8,24,43","8,24,56,58,59","8,24,56,60,61","8,11,12,24,56","1,8,24,56","8,24,43,56","1,5,8,58,59","1,5,8,60,61","1,5,8,11,12","1,5,8,43","1,8,56,58,59","1,8,56,60,61","1,8,11,12,56","1,8,43,56"]	106420
["3,4,5,7","3"]	94962
["9","5,8","3,5,8","5,8,40","5,8,24","5,8,41","5,8,42","1,5,8","5,8,43","3,5,8,41","3,5,8,40","3,5,8,42","1,3,5,8","3,5,8,43","5,8,40,41","5,8,40,42","1,5,8,40","5,8,40,43","5,8,24,41","5,8,24,40","5,8,24,42","1,5,8,24","5,8,24,43"]	84438
["5,8","8,63","5,8,57","8,57,63","3,5,8","3,8,63","5,8,24","8,24,63","1,5,8","1,8,63","5,8,11,12","5,8,43","8,11,12,63","8,43,63","5,8,11,12,57","1,5,8,57","5,8,43,57","8,11,12,57,63","1,8,57,63","8,43,57,63","3,5,8,11,12","1,3,5,8","3,5,8,43","3,8,11,12,63","1,3,8,63","3,8,43,63","5,8,11,12,24","1,5,8,24","5,8,24,43","8,11,12,24,63","1,8,24,63","8,24,43,63","1,5,8,11,12","1,5,8,43","1,8,11,12,63","1,8,43,63"]	81667
["5","31"]	72653
["13"]	64826
["16"]	62368
["43"]	61484
["3,4,5,8","8","3","3,5,8,136","3,4,5,6,8","3,5,6,8,136"]	56288
["31"]	56233
["8,31","90"]	55389
["1"]	45527
["326","6"]	44606
["11,12"]	42072
["3,4,5,6","3"]	38591
["8,43"]	37556
[]	34836
["282"]	34549
["16","740"]	34466
["597","326","31"]	34426
["75","421"]	34186
["136","4","121"]	34183
["1499","691"]	34183
["247","214"]	34183
["1761","253"]	34182
["11"]	31870
["12"]	31758
["5,8,18","5,8,19","5,8,14,18","5,8,18,22","5,8,14,19","5,8,19,22"]	30000
["24"]	25266
["3,4,5,8","8","3","3,5,8,136","3,4,5,8,106","3,5,8,106,136"]	24854
["5,8,51"]	24425
["9","5,8","5,8,42","3,5,8","5,8,40","5,8,24","5,8,41","1,5,8","5,8,43","5,8,41,42","5,8,40,42","1,5,8,42","5,8,42,43","3,5,8,41","3,5,8,40","3,5,8,42","1,3,5,8","3,5,8,43","5,8,40,41","1,5,8,40","5,8,40,43","5,8,24,41","5,8,24,40","5,8,24,42","1,5,8,24","5,8,24,43"]	22021
["39"]	21886
["8","52"]	20055
["3,4,5,106","3"]	17915
["5,8,15,83"]	17235
["2,8"]	17059
["266","48,126,266,267,276,2551"]	16336
["225"]	14462
["1214"]	14378
["9","5,8","5,8,41","3,5,8","5,8,40","5,8,24","5,8,42","1,5,8","5,8,43","5,8,40,41","5,8,41,42","1,5,8,41","5,8,41,43","3,5,8,41","3,5,8,40","3,5,8,42","1,3,5,8","3,5,8,43","5,8,40,42","1,5,8,40","5,8,40,43","5,8,24,41","5,8,24,40","5,8,24,42","1,5,8,24","5,8,24,43"]	14227
["5,8,83"]	13944
["8,11,12","8,11,12,83","8,11,12,44","8,11,12,152","8,11,12,71","8,11,12,16","8,11,12,15"]	13635
["169"]	13610
["43","14,43","16,43"]	13512
["8","1,8"]	12861
["11","52"]	12423
["12","52"]	12414
["8","2","16"]	11889
["95"]	11250
["8,38","5"]	10532
["360","8"]	10119
["38"]	9886
["5,24"]	9870
["1002"]	9746
["11","12"]	9711
["8,31","45"]	9572
["98"]	8392
["8,43","8,71","8","52"]	8190
["8,293"]	7659
["5,8","8,52"]	7166
["5","5,8"]	6489
["31,121","597"]	6221
["31,121","31,247","597"]	6212
["31,121","31,75","597"]	6205
["44","13","14"]	6155
["44"]	5651
["106"]	5446
["8,36","8,36,100"]	5398
["5,8","95"]	5382
["8","8,52"]	5135
["12","13","5","16","44","8","11","1,8,44"]	4934
["750","5","8,750","5,8"]	4922
["793"]	4884
["8,16","4,8,16,101,102"]	4805
["542"]	4561
["5,93","5,93,986","5,92,93"]	4475
["5,83","5,83,1234","5,15,83"]	4472
["48,126,266,267,276,2551"]	4380
["2,3,71","2,3,13,71","2,3,16,71","2,3,67,71"]	4326
["100"]	4306
["207"]	4281
["8,44","8,16,44"]	4224
["242"]	4194
["8","8,44","8,50","8,220","8,98","8,100","8,1110","8,207","8,575","8,1270","8,265","8,503","8,152","8,71","8,16"]	4181
["5,8,11,12,44"]	3951
["8,15"]	3936
["8,31"]	3864
["5","5,43"]	3605
["36","50","100","187","16"]	3570
["36","50"]	3569
["564"]	3534
["65","8"]	3331
["43","43,343","3,43","43,349","13,43","43,566","43,266","43,126","43,469","43,267","43,567","43,568","16,43","43,67","43,569","43,276","43,117","43,233","43,570","43,98","43,72","43,120","43,571"]	3261
["8","5","95"]	3256
["31,326"]	3120
["31,121","37"]	3115
["31,247"]	3114
["31,75"]	3113
["2,3,5,16"]	3107
["2,8,15","2,8,13,15"]	2937
["8","8,65","8,93"]	2849
["131"]	2818
["293"]	2733
["5,8","8,95"]	2725
["99","88,99","99,547","99,1370"]	2607
["71"]	2515
["8,36"]	2473
["5,8","90"]	2441
["2,8","2,8,14","2,8,44"]	2381
["1,2,13"]	2302
["2,3,71","2,3,13,71","2,3,16,71","2,3,67,71","2,3,71,126","2,3,71,265","2,3,71,266","2,3,71,267","2,3,50,71","2,3,71,187"]	2278
["2855"]	2276
["28"]	2251
["26"]	2228
["20"]	2223
["2,16"]	2188
["117,170"]	2170
["36","37","265","793","542","2"]	2121
["2072"]	2100
["37"]	2021
["36"]	1983
["43","2,43","13,43","16,43","43,67"]	1792
["8","8,199","8,92"]	1709
["2","44","43"]	1687
["43","43,225"]	1612
["99","88,99","99,547"]	1577
["8,95"]	1557
["84"]	1504
["11,12,24"]	1456
["24,50"]	1452
["559"]	1215
["5,8","5,8,16"]	1170
["8,326"]	1158
["8,16,101,102","4,8,16,101,102"]	1138
["3","5"]	1137
["74,247"]	1127
["236"]	1109
["134"]	1091
["51","5,8"]	1086
["8","8,24","8,208","8,106","8,555","2,8","8,596","8,664","8,14","8,43","8,225","8,74","8,49"]	1073
["8,284"]	1052
["5,24,63"]	1000
["83"]	993
["27"]	977
["24","24,31","8"]	977
["29"]	975
["21989"]	972
["831"]	972
["21991"]	972
["21990"]	972
["88"]	936
["6566"]	930
["5,8","2,5,8","5,8,52","5,8,16","5,8,38"]	915
["100","187"]	895
["1058"]	891
["370"]	888
["2,3,13,316"]	888
["17"]	883
["2,8","2,4,8,82,102,409"]	876
["2105","2106","272","2107","8","24"]	855
["8,44"]	845
["83","8"]	842
["70"]	833
["16","2","11","12","71"]	828
["2,8","2,8,152"]	826
["472","8"]	825
["8","8,100"]	814
["43","14,43","1,43","43,169","24"]	806
["2","2,14","2,8","2,11,12"]	793
["8,11,12,83","8,11,12,44,83","8,11,12,16,83","8,11,12,16,44,83"]	788
["8","90"]	699
["8,11,12","8,11,12,31","8","5,8,11,12"]	664
["16","2","11","12"]	658
["2,43","2,43,231","2,43,232","2,16,43","2,43,233","2,13,43","2,43,234"]	624
["31","8"]	600
["135"]	597
["983"]	594
["5","8"]	572
["43","2,43"]	570
["1,13"]	567
["16","2","11","12","8","71"]	562
["153"]	559
["397"]	559
["69"]	548
["5,8","90","5,8,52","5,8,38"]	547
["132"]	544
["5,95","5"]	541
["8,49"]	518
["5,13511","5"]	513
["99","88,99","99,547","99,1370","99,2072"]	513
["44","16,44","44,71"]	513
["8","8,16","8,13","8,44"]	506
["5","5,36,37","5,989"]	504
["1436"]	492
["5,37","71"]	489
["49","8"]	489
["106,555"]	487
["51","8","5"]	480
["157"]	478
["1947"]	476
["408"]	476
["45","8,31"]	468
["3"]	456
["14"]	448
["8","5,8","2,8","8,52","8,16","8,38"]	434
["8","8,24","8,208","8,106","8,555","8,596","8,74"]	418
["1145"]	416
["5","5,8","5,95","5,147"]	416
["252"]	411
["5","95"]	404
["1","8"]	403
["8","24"]	400
["2,3,5,240","3"]	398
["24,36,37,100"]	394
["8","8,16","8,38","5,8","8,11,12"]	394
["5","5,8","5,53","5,54"]	394
["8","8,16","8,38","5,8","8,11,12","8,36","8,100","8,1895","8,1067","8,1597","8,1896","8,1897"]	394
["8","8,24","2,8","8,664","8,74","8,49","8,472","5,8","8,596","8,83","8,208","8,106","8,555"]	391
["8,37"]	387
["208","208,14944","208,545","208,246"]	384
["37","8"]	383
["2,8,16","2,8,16,242","8","2,8,16,86","2,8,16,93","2,8,16,303","2,8,11,16","2,8,12,16"]	378
["2,8,13"]	377
["265","8"]	376
["41"]	373
["494","8"]	368
["93","8"]	368
["30","8"]	368
["144"]	364
["8","226"]	361
["15054"]	351
["8,11,12,83,152","8,11,12,44,83,152","8,11,12,16,83,152","8,11,12,16,44,83,152"]	351
["539"]	348
["388"]	347
["24,31"]	340
["63"]	336
["20","8"]	323
["44","44,2800"]	323
["502"]	322
["74"]	322
["8","39","43","146"]	319
["2,13"]	306
["1","8,15147"]	299
["5,24,93","3,11,12"]	295
["5,31"]	292
["5,2765"]	286
["1444","8"]	284
["1379","8"]	284
["2793","8"]	284
["5","5,11","5,12"]	284
["13003","8"]	284
["2583","8"]	284
["318","8"]	284
["107","8"]	284
["12997","8"]	284
["17","8"]	284
["331","8"]	284
["665","8"]	284
["8","8,16","2,8","8,50","8,187","8,71"]	280
["24,71"]	279
["271","8"]	277
["13006","8"]	277
["5,650","5"]	266
["5,11,12,15,83"]	265
["122"]	258
["501"]	258
["5","2","93","8","159","986","92","920"]	258
["9","5","5,8","3,5","5,24","5,43","1,5","5,1949","5,106","5,8,43","1,5,8","5,8,1949","5,8,106","3,5,43","1,3,5","3,5,1949","3,5,106","5,24,43","1,5,24","5,24,1949","5,24,106"]	257
["390"]	256
["13540"]	255
["149"]	251
["152"]	250
["1154"]	249
["208","208,545","208,246"]	245
["15"]	244
["2,16","2,11,16","2,12,16"]	241
["2,24"]	237
["2,327,932"]	234
["8,900"]	228
["8,978"]	228
["900","8"]	228
["978","8"]	228
["1448","12185"]	224
["13005","991"]	224
["14884","682"]	224
["712","193"]	224
["540","982"]	224
["645","126"]	224
["122","701"]	224
["12184","1017"]	224
["2649","21594"]	224
["650","48"]	224
["14873","21593"]	224
["24,31","8"]	223
["72"]	223
["946","8"]	221
["8,43,44","8,43,44,948","8,13,43,44"]	221
["8,946"]	221
["984"]	221
["5,8,23,44,106"]	219
["56"]	218
["2,8,11,12","2,8,11,12,43"]	215
["5,11,12"]	212
["343","14,343"]	211
["9","5","39","63","5,8","8,39","8,63","3,5","3,39","3,63","5,24","24,39","24,63","1,5","5,43","1,39","39,43","1,63","43,63","1,5,8","5,8,43","1,8,39","8,39,43","1,8,63","8,43,63","1,3,5","3,5,43","1,3,39","3,39,43","1,3,63","3,43,63","1,5,24","5,24,43","1,24,39","24,39,43","1,24,63","24,43,63"]	208
["8,44","171"]	205
["31","45"]	205
["45","39"]	205
["8,45"]	204
["5,18"]	203
["5","5,677"]	203
["24,31,36,37,44"]	202
["8,11,12,39","8","8,11,12,16,39","8,11,12,39,343"]	201
["390,12119"]	200
["56","11,56","8,56","8,11,56"]	199
["5,8","5,8,52","8,52","5"]	193
["276","1"]	190
["244"]	189
["83","208"]	186
["5,37","5"]	180
["5,11","5,8,11"]	178
["240"]	176
["2,5,8,11,12,83,1077","2,5,8,11,12,13,83,1077","2,5,8,11,12,83,1077,18137"]	176
["5,8","8,39","8,63","5,24","24,39","24,63","5,8,43","1,5,8","5,8,1530","8,39,43","1,8,39","8,39,1530","8,43,63","1,8,63","8,63,1530","5,24,43","1,5,24","5,24,1530","24,39,43","1,24,39","24,39,1530","24,43,63","1,24,63","24,63,1530"]	175
["20172"]	173
["8,454"]	172
["170"]	171
["8,3397"]	171
["2,8,11,12"]	170
["8,3398"]	169
["8","2,8","8,16"]	167
["16","2","11","12","8"]	166
["5,8,44"]	165
["5,37"]	165
["5,12219","5"]	160
["111"]	160
["9"]	156
["677","1923","45","299"]	156
["1024"]	156
["2,43","2,8,43","2,11,12,43"]	152
["5,1332","5"]	150
["2,8","2,8,13"]	149
["343","8,343","13,343","11,343","12,343"]	145
["8,44,73"]	145
["36","100"]	145
["3","5","5,15080"]	144
["8","8,16","8,38","5,8","8,11,12","8,600","8,192","8,1042","8,251"]	143
["24,31,122","24"]	139
["677"]	137
["5,6"]	136
["8,16,1077"]	135
["3,5"]	134
["8,31","8","8,31,43"]	133
["5,8","226","8,52","5"]	130
["44","2"]	129
["1097"]	128
["241"]	125
["334"]	124
["2,5,16,24,41,43","2,5,16,24,41,43,154"]	124
["43,343","16,43,343","43,44,343","13,43,343","43,343,541"]	123
["36,37"]	123
["9","5","63","5,2197","63,2197","5,8","8,63","3,5","3,63","5,24","24,63","1,5","5,43","1,63","43,63","1,5,2197","5,43,2197","1,63,2197","43,63,2197","1,5,8","5,8,43","1,8,63","8,43,63","1,3,5","3,5,43","1,3,63","3,43,63","1,5,24","5,24,43","1,24,63","24,43,63"]	121
["117"]	121
["2","2,4,82,102,409"]	121
["2,327"]	120
["662"]	119
["1,8"]	118
["5,49"]	118
["2,5,8,71"]	117
["24,294","8"]	116
["24,144","8"]	116
["24,37","8"]	116
["107","119"]	115
["5,44,1151,1643"]	115
["75"]	115
["14755"]	114
["93"]	114
["159"]	113
["52","5,686","5,110"]	111
["5,98","71"]	110
["12119","390"]	110
["8,16,101,102","4,8,16,101,102,13547"]	110
["11,12,31"]	109
["9","5","39","63","5,8","8,39","8,63","3,5","3,39","3,63","5,2649","39,2649","63,2649","5,24","24,39","24,63","5,43","1,5","39,43","1,39","43,63","1,63","5,8,43","1,5,8","8,39,43","1,8,39","8,43,63","1,8,63","3,5,43","1,3,5","3,39,43","1,3,39","3,43,63","1,3,63","5,43,2649","1,5,2649","39,43,2649","1,39,2649","43,63,2649","1,63,2649","5,24,43","1,5,24","24,39,43","1,24,39","24,43,63","1,24,63"]	108
["8,31","8,31,43","8,31,251","8,31,3056","8,13,31","2,8,31"]	107
["4"]	107
["39","31","45"]	107
["5,11,12","5,8,11,12"]	106
["1077","5,1077","95","39,1077","1,1077","8,1077"]	106
["5,383"]	105
["31,464"]	105
["2338"]	103
["5,8,69,70"]	103
["8","8,24","5,183,13154","8,472","5,8","8,596","8,83","8,208"]	102
["247"]	102
["5","5,1923"]	101
["101"]	101
["5,26"]	101
["49"]	100
["13,24"]	100
["436"]	100
["11,12","8,11,12"]	100
["8,24","8,24,132","8,24,50","8,24,187","8,24,502","8,24,2351","8,24,283","8,24,294","8,24,37","8,24,144","8,16,24","8,24,145","8,24,2079","8,24,503","8,24,43"]	100
["5,24,383"]	100
["1083"]	100
["104"]	99
["994"]	98
["31","39","45"]	97
["390,14755"]	97
["2,1145"]	97
["8","677","45","2,8,31,44","2,8,16,31,44","2,8,13,31,44","5,31","31","8,52"]	94
["1,2,8","1,2,8,664","1,2,8,74","1,2,8,23","8"]	93
["8,11,12"]	93
["44","226"]	92
["2,8","2,8,16","2,8,13","2,8,14"]	91
["996"]	91
["24","71"]	90
["997"]	90
["44","16,44","44,326","44,517","44,383","14,44","13,44","44,932","44,999"]	90
["16","1,16"]	90
["83","83,107"]	90
["390","12119"]	89
["5,11"]	89
["52","152","13058","3","13","2","284","8"]	88
["5,11","5,11,12"]	87
["1138"]	87
["1,5"]	87
["701"]	87
["43","8"]	86
["24,31","24,31,44"]	86
["95","5,8,44","171"]	86
["5,24,37"]	86
["5,8","8,63","3,5","3,63","5,24","24,63","5,8,43","1,5,8","106","5,8,1761","1129","8,43,63","1,8,63","8,63,1761","3,5,43","1,3,5","3,5,1761","3,43,63","1,3,63","3,63,1761","5,24,43","1,5,24","5,24,1761","24,43,63","1,24,63","24,63,1761"]	85
["8","8,44","2,8","8,14","8,13","8,16","8,282","5,8"]	85
["5,354"]	84
["24,36,98,100"]	84
["8","52","31"]	84
["326"]	83
["5,8,24","5,8,24,187","5,8,24,13163"]	82
["343"]	82
["54"]	82
["50"]	82
["8,1149"]	81
["37","5","5,37"]	81
["1110"]	80
["9","5","63","5,8","8,63","3,5","3,63","5,24","24,63","5,43","1,5","5,106","5,1761","1129","43,63","1,63","63,106","63,1761","5,8,43","1,5,8","5,8,106","5,8,1761","8,43,63","1,8,63","8,63,106","8,63,1761","3,5,43","1,3,5","3,5,106","3,5,1761","3,43,63","1,3,63","3,63,106","3,63,1761","5,24,43","1,5,24","5,24,106","5,24,1761","24,43,63","1,24,63","24,63,106","24,63,1761"]	80
["5,8","226"]	80
["82"]	80
["2,491,918,1510,1682,1742,2213,15203"]	79
["5,8,36","5,8,36,100"]	78
["17,83,117,170,665"]	78
["8,39"]	78
["5","5,1077"]	78
["2,8,11,12,71","5"]	78
["12119"]	78
["9","5","39","63","5,8","8,39","8,63","3,5","3,39","3,63","5,24","24,39","24,63","5,43","1,5","39,43","1,39","43,63","1,63","5,8,43","1,5,8","8,39,43","1,8,39","8,43,63","1,8,63","3,5,43","1,3,5","3,39,43","1,3,39","3,43,63","1,3,63","5,24,43","1,5,24","24,39,43","1,24,39","24,43,63","1,24,63"]	78
["5,8,92"]	77
["8","90","8,52"]	77
["8,800"]	76
["8,3396"]	76
["8,1961"]	76
["8,99"]	76
["83,117"]	76
["8,2072"]	75
["62"]	75
["33"]	74
["1793"]	74
["2,5,8,11,12"]	74
["17,170"]	73
["189"]	73
["5","2,5","5,12","5,11"]	73
["5","5,8","5,12","5,11","2,5"]	73
["30"]	72
["2,24,31,70,71"]	71
["8","90","8,52","8,38","5"]	71
["8,43,44","8,16,43,44","8,36,43,44","8,43,44,100"]	71
["5,14,143"]	70
["2,5,14,24"]	70
["1028"]	69
["1582"]	69
["36,265"]	69
["44","79"]	68
["939"]	66
["3739"]	66
["5,208"]	66
["665"]	65
["5,74"]	65
["5,44"]	65
["8,21830"]	65
["5,83"]	64
["1032"]	64
["1020"]	64
["9","5","39","63","5,8","8,39","8,63","3,5","3,39","3,63","5,24","24,39","24,63","1,5","5,43","5,1579","1,39","39,43","39,1579","1,63","43,63","63,1579","1,5,8","5,8,43","5,8,1579","1,8,39","8,39,43","8,39,1579","1,8,63","8,43,63","8,63,1579","1,3,5","3,5,43","3,5,1579","1,3,39","3,39,43","3,39,1579","1,3,63","3,43,63","3,63,1579","1,5,24","5,24,43","5,24,1579","1,24,39","24,39,43","24,39,1579","1,24,63","24,43,63","24,63,1579"]	64
["2,8,11,12,71"]	63
["390","14755"]	63
["11,12,15,31,499,2207"]	62
["2","16","3","36","100","220","98","44","14","70","43","8"]	62
["8,16","4,8,13,16,101,102,13547"]	62
["5,8,11,12"]	62
["232"]	62
["317,326"]	61
["12767"]	61
["2,16,24,254,283"]	61
["8,31","8,31,43","8,13,31","8,31,3056","8,31,1597","8,31,1659","8,31,233","2,8,31"]	61
["5","24,136,326","24","24,781"]	61
["1040"]	61
["5,8,31"]	61
["30,83,14934"]	60
["6"]	59
["101","16","2","11","12","16,101","2,101","11,101","12,101"]	58
["2,8","2,8,11","2,8,12"]	58
["99","88,99","99,547","99,15080"]	58
["86"]	58
["269"]	57
["53"]	57
["5","13164"]	57
["5,14"]	56
["5,17"]	56
["5,1138"]	56
["75,121"]	55
["106,183,184"]	55
["49,74"]	55
["170,1138"]	54
["272"]	54
["1151,1643"]	54
["8,31","8,31,44"]	54
["5,134","5,135"]	54
["4","16","2","11","12","4,16","2,4","4,11","4,12"]	53
["5,170"]	53
["1027"]	53
["2606"]	53
["5,641"]	53
["134","3394"]	52
["3","24","40"]	52
["15157","15158"]	52
["5","52"]	52
