query_shape	count
["3,6"]	211426
["96,97,98,99,100,540,541"]	93123
["49","24,29","7"]	14195
["21","22","891","18","19","7","6,23"]	14005
["569","21,569"]	11975
["1,450"]	8149
["13"]	7877
["1"]	7424
["49"]	7099
["3","7"]	4960
["126"]	4536
["42"]	3944
["21","22","891","18","19,20","7","6,23"]	3622
["24,29"]	3482
["929","6,23","315"]	3348
["13,14","13,14,21","7"]	3293
["231"]	3217
["3,450"]	3195
["929","6,23","3"]	3024
["3","231","23644"]	2995
["13,450"]	2891
["1328","89,1121,1680"]	2366
["231","7"]	2323
["6,197,1610","6,197,222,1610"]	2167
["13","6"]	2052
["142"]	1913
["3,1168","3,21,1168","7"]	1762
["1550","23,1550","7"]	1754
["45"]	1678
["4320"]	1665
["6,413","3,56,57,330","3,56,57,175,330","6,104","59"]	1639
["1311"]	1638
["413","56","57,288","104","59","7"]	1638
["3","3,14","3,64","7"]	1610
["14,597","14,21,597","7"]	1551
["3,38","231","39,40,2415","1640","537","9376","9418","3","7"]	1529
["655"]	1492
["14"]	1419
["6,413","56,57","288","56,57,175","6,104","59"]	1401
["151","231"]	1344
["21"]	1282
["8","65","66","402","3339"]	1207
["13,14,47,348","8","13,14,21,47,348","7"]	1027
["13,450","597","35","13","450,597"]	1007
["79","24,26,29","79,142","3,79","7"]	1005
["6"]	962
["3"]	955
["2205","66,2205","21,2205","3,2205","18","2131","7"]	951
["151","4400","21,151","22,151","151,891","21,4400","22,4400","891,4400","18","19","7","6,23"]	944
["3","231","7"]	942
["53","7"]	924
["56","6","3,56","56,57","56,330","56,135","7"]	916
["140","7"]	905
["56,57","3,637","6,56,57,330"]	884
["56,135","6","6,922"]	881
["3,12,47"]	876
["56","57,288"]	876
["22846"]	876
["328","329","6","255,329","259,329","306,329","7"]	874
["6,56,370","6","56,370"]	873
["302","304","6","305","303","6,21","255,304","259,304","304,306","255,305","259,305","305,306","7"]	868
["2205","66,2205","21,2205","3,2205","18","2131,2132","7"]	827
["3,6,21,56,57,136","6","3,6,21,56,57,136,193","3,6,21,56,57,136,466","7"]	790
["22738"]	785
["22640"]	745
["370","3","231","59","2137","7"]	724
["14,480","14","480"]	701
["1902"]	692
["929","6,23","13"]	671
["7"]	659
["227"]	636
["3,316","3","231","13","24,26"]	619
["1328","88,89,168,231,1121,1214,1678,1965,1966","9965","1960","88,89,168,231,1121,1214,1667,1678,1680,1965,1966,1967","7"]	607
["2205","14942","66,2205","21,2205","3,2205","66,14942","21,14942","3,14942","18","2131","7"]	601
["3276"]	595
["66","7"]	560
["1859"]	551
["56","173","7"]	549
["929","6,23","65"]	539
["57,288","56"]	527
["2982"]	527
["70"]	522
["3,64","3,14,64","7"]	504
["13,64,940","3","13,21,64,940","7"]	496
["142","24,29","7"]	491
["18096","23,18096","7"]	484
["200"]	478
