TotalLines	13771217 
TotalQueries	12993744 
ValidQueries	12480267 
VariablePredicateQueries	725358
SubQueryQueries	88774
PredicatePathQueries	60281
query_shape	count
["1"]	4473545
["1,3","1,3,112,206,475,1934"]	1971988
["3,23"]	1108586
["3,15,23,55,56,66,91,112","3,2236"]	372494
["23"]	245121
["3"]	235493
["3,55,56"]	205534
["1,3,15,23"]	112865
["22"]	112608
["77"]	91875
["1324"]	84039
["3,15,23,383","3,15,23"]	82715
["16"]	74381
["14,30,112"]	68568
["975"]	47414
["537"]	47414
["294"]	45967
["1049"]	45926
["56"]	44807
["55"]	44606
["12884"]	44120
["552"]	43830
["25","1,3"]	34092
["8"]	32080
["42"]	28931
["311"]	27964
["2245"]	23140
["22,23,66,2247"]	22770
["66"]	21975
["1,42"]	21802
["1,3"]	21085
["15"]	19398
["1,3,2241"]	16842
["8,20,84,131,156,173,461,839"]	16302
["6"]	15932
["6","3"]	14917
["3,15,241,257,1022"]	14648
["14"]	14124
["8","311","311","311"]	13354
["3,77"]	12717
["55,56"]	12495
["3,16"]	12157
["3,206"]	11762
["3,14561"]	11761
["3,14560"]	11761
["3,363"]	11761
["3,14559"]	11761
["3,14558"]	11760
["363"]	10811
["1,485"]	10767
["14558"]	10177
["206"]	10080
["3,15"]	9809
["14560"]	9246
["14559"]	9246
["14561"]	9243
["383"]	8934
["1,4"]	8728
["1,4,504"]	8636
["1","3"]	8580
["1,3,465"]	8188
["27"]	8098
["1,3,15,16,23"]	7934
["28,80,106,151,152,990"]	7774
["1415"]	7347
["375"]	7310
["11314"]	7300
["998"]	7269
["503"]	7262
["1,4,5"]	7262
["15110"]	7233
["15106"]	7218
["2175"]	7169
["15111"]	7107
["15112"]	7070
["1035"]	7024
["2171"]	7017
["810"]	6531
["1,3","3,77"]	6445
["5"]	6352
["512"]	6245
["504"]	6167
["15115"]	6166
["15116"]	6033
["12895"]	6023
["11312"]	5992
["15107"]	5990
["1661"]	5978
["1006"]	5940
["15108"]	5922
["2170"]	5909
["11962"]	5905
["989"]	5903
["11382"]	5901
["15105"]	5893
["2174"]	5888
["1005"]	5884
["1312"]	5868
["2168"]	5866
["2167"]	5853
["983"]	5834
["15117"]	5828
["15114"]	5814
["15113"]	5768
["11313"]	5747
["13433"]	5711
["32"]	5709
["30"]	5707
["15118"]	5691
["15109"]	5690
["1871"]	5646
["8","311","311"]	5299
["28,80,106,151,152"]	5180
["26"]	5139
["61"]	4936
["14,66,112"]	4675
["3,12","3,10"]	4650
["3,10","1,3,5,12"]	4596
["13348"]	4502
["3,8"]	4288
["2"]	4190
["269"]	4001
["3","63"]	3956
["15,22,23,30,66,80,398,445,942,990,1888,2242"]	3937
["3,15,23"]	3898
["14,23,30,66"]	3880
["605"]	3792
["1,3,15"]	3777
["198"]	3709
["121"]	3698
["4"]	3648
["3","3,77"]	3522
["16","16"]	3287
["1907"]	2987
["5,26,28,80,106,151,152,990"]	2837
["577"]	2763
["962"]	2672
["25"]	2668
["1,3,55,56"]	2636
["233"]	2550
["1678"]	2495
["3,383"]	2437
["3,219"]	2431
["3,1754","952"]	2429
["158"]	2364
["3,4,23"]	2358
["81"]	2286
["112"]	2235
["114"]	2222
["238"]	2115
["484"]	1961
["14,77,962","14,962"]	1959
["77","14,23,30,66"]	1951
["906"]	1934
["109"]	1933
["389"]	1930
["1720"]	1926
["21"]	1924
["1148"]	1917
["15150"]	1917
["972"]	1917
["1885"]	1916
["15148"]	1915
["1,15,22,23"]	1847
["14,962"]	1845
["96"]	1842
["2001"]	1839
["229"]	1819
["549"]	1809
["157"]	1803
["25","107","406","1031"]	1791
["3,30"]	1703
["227"]	1645
["201"]	1633
["393"]	1627
["15151"]	1626
["14569"]	1626
["1388"]	1625
["15152"]	1624
["15149"]	1624
["93"]	1601
["276"]	1599
["311,1576","311","1576"]	1558
["617"]	1496
["235"]	1486
["311","311"]	1485
["1,3,22,131,257","3","22"]	1430
["14521"]	1424
["14522"]	1406
["14531"]	1404
["16,23,66"]	1346
["349"]	1275
["1,8"]	1208
["45"]	1186
["862"]	1177
["3,91"]	1085
["2326"]	1055
["11327"]	1049
["11248"]	1049
["140,171"]	1031
["1,4,35,55,56,72","879"]	1013
["2236","2236"]	979
["219"]	970
["3,30,66,929"]	949
["35"]	918
["1,22,257,1577","22"]	913
["3,5,15,22,23,25,421,1678,1692"]	897
["1,3,35,55,56","3"]	864
["708"]	853
["51"]	829
["3,833","952","22"]	824
["3,15,23,30,103,363,421,696,853,1002"]	770
["8","3"]	766
["118"]	761
["91"]	747
["7"]	741
["1,14,15,22,30,112,503,552"]	739
["642"]	709
["886"]	705
["406","3","1,4,406"]	701
["15,23,42,66,570,2250,2303,2304"]	682
["1,3,45"]	681
["22,130,131,134,839,1103"]	679
["28"]	679
["2241","1,3"]	677
["3,23,421"]	646
["696"]	639
["2321"]	634
["1182"]	629
["242"]	619
["22,25,406","55,56"]	615
