query_shape	count
["2205","66,2205","22","66","21,2205","3,2205","22,2205","18","2131","7"]	20626
["2205","14942","66,2205","21,2205","3,2205","66,14942","21,14942","3,14942","18","2131","7"]	16038
["21","22","18","19","7","6,23"]	12010
["79","24,26,29","79,142","3,79","7"]	11641
["2205","14942","66,2205","21,2205","3,2205","66,14942","21,14942","3,14942","18","2131,2132","7"]	5371
["142","24","7"]	4549
["142","24,29","7"]	4476
["929","6,23","3"]	4310
["24,29"]	4137
["3","7"]	3969
["21","22","18","19,20","7","6,23"]	3521
["65,151","66","231","110","59","21,66","22,66","21,110","22,110","21,59","22,59","18","19","7","6,23"]	2915
["18","7"]	2629
["2205","66,2205","22","66","21,2205","3,2205","22,2205","18","2131,2132","7"]	2618
["231"]	2528
["65,151","66","231","110","59","21,66","22,66","21,110","22,110","21,59","22,59","18","19,20","7","6,23"]	2325
["18,65,1481","7"]	1802
["49"]	1801
["3","3,14","3,64","7"]	1404
["3"]	1350
["231","7"]	1258
["17917","23,17917","7"]	1256
["569","21,569"]	1234
["8","65","66","402","3339"]	1231
["21"]	1131
["3,18","231","3,18,66","66","3,18,23","7"]	1016
["3,65,1392","231","1393","12","259","7"]	993
["53","7"]	948
["66","7"]	938
["6,88,89,231,1121,1214,1678,1965,1966","1328","1968"]	868
["2471","23,2471","7"]	804
["3,316","3","231","13","24,26"]	703
["6","21","18","24,26,28,29"]	690
["4"]	688
["2406"]	688
["3,6","231"]	688
["6","21","23"]	616
["3,38","231","39,40,2415","1640","537","9376","9418","3","7"]	613
["6"]	612
["3,6"]	605
["56","6","3,56","56,57","56,330","56,135","7"]	596
["3","231","7"]	594
["56,57","3,637","6,56,57,330"]	576
["415","23,415","7"]	576
["56,135","6","6,922"]	575
["6,56,370","6","56,370"]	566
["328","329","6","255,329","259,329","306,329","7"]	564
["56","57,288"]	562
["302","304","6","305","303","6,21","255,304","259,304","304,306","255,305","259,305","305,306","7"]	556
["18","18,66"]	548
["6,18","6,18,21","6,18,142"]	511
["77"]	494
["3,65","231","3,65,763","764","765,766","3,65,538","2855","708,709","3,65,2488","2489","3,65,712","713","3,65,14801","5747","3,65,14501","5536","3,65,15201","5558","7"]	467
["34"]	465
["151","21,151","22,151","18","19","7","6,23"]	452
["127"]	449
["723"]	443
["359","23,359","7"]	435
["76"]	426
["3,38,695","231","39,40","39,346","39","346","40","7"]	394
["24,26,28,29","704"]	384
["3,87","7"]	368
["146,596","23,146,596","146,596,4434","146,596,4688","146,596,3375","146,596,639","146,596,2087","7773,11263"]	357
["123"]	355
["2859"]	355
["14,21,45,256","257","65","24","14,21,45,201,256","13,14,21,45,256","14,21,45,256,258","14,21,22,45,256","255,257","257,259","7"]	353
["231","21,231","7","6"]	341
["7"]	338
["70"]	336
["91"]	327
["2205","66,2205","21,2205","3,2205","18","2131","7"]	324
["6","24,26","6,106","6,42","6,21","6,173","6,574","6,575"]	322
["3","3,21","7","6"]	320
["12,413","413","3,56","104","59","12,104","7"]	306
["3,65","231","3,65,763","764","765,766","3,65,538","2855","708,709","3,65,2488","2489","3,65,712","713","3,65,15201","5558","3,65,431","2656","3,59,65","3,65,66","7"]	302
["929","66","448","228","7"]	297
["723","23,723","7"]	297
["143","7"]	280
["929","6,23","15"]	278
["57,288"]	277
["3","231","23772","23773","7"]	273
["6","18","19,20"]	270
["16"]	261
["3,65","231","3,65,763","764","765,766","3,65,538","2855","708,709","3,65,431","2656","3,65,15262","5674","3,65,15180","5569","3,65,5144","3,65,483","3,59,65","3,65,66","7"]	260
["17799","23,17799","7"]	259
["3,65","231","3,65,763","764","765,766","3,65,538","2855","708,709","3,65,2488","2489","3,65,712","713","3,65,14801","5747","709","3,65,14501","5536","3,65,15201","5558","7"]	252
["702"]	245
["56,370","3","231","59","2137","7"]	243
["15,114","114","7"]	240
["370","3","231","59","2137","7"]	240
["14"]	235
["17492","23,17492","7"]	235
["3,757","3,6,757","3,757,758","3,142,757","3,757,759","3,595,757","3,21,757","3,620,757","3,757,760","3,757,761"]	232
["3","3,21","7"]	231
["3","231"]	227
["3,65","7"]	226
["1336"]	217
["14","6,14"]	215
["3,197,1392","231","1393","12","259","7"]	213
["3,47","3,12,47","3,13,47","23"]	213
["929","6,23","66"]	208
["2205","14942","66,2205","3,2205","66,14942","3,14942","18","2131","21","7"]	203
["18","389,390"]	202
["929","6,23","13"]	201
["3,65","231","7"]	197
["3,15,21,165","12","7"]	196
["929","6,23","65"]	195
["295","7"]	194
["18","136","21,136","389,390","7"]	194
["3","231","3,231","7"]	194
["13","7"]	188
["3668","23,3668","7"]	186
["165","1168","57","190"]	185
["6,231"]	185
["64"]	184
["929","6,23","231"]	182
["452","23,452","7"]	181
["637","1977","978","4357","4380","1149","682","238"]	179
["683","1291"]	178
["113,228"]	178
["35,45,339","763","764","28,765,766","7"]	174
["3,65","3,65,66","7"]	169
["68"]	167
["622","7"]	167
["231","3"]	165
["35","7"]	162
["1328","88,89,168,231,1121,1214,1680,1965,1966","1667,1967","88,89,168,231,1121,1214,1678,1680,1965,1966","1968","7"]	162
["929","6,23","47"]	161
["3","231","3,488","3,486","3,14","3,64","3,12","7"]	159
["24"]	159
["3","231","3,21","3,22","18","19,20","7","6,23"]	159
["50"]	156
["32"]	155
["126"]	155
["3","231","3,637","3,113","3,6"]	155
[]	152
["231","96,97,98,99,100,540,541","7"]	152
["3,501","7"]	152
["65"]	152
["3,66","7"]	151
["480","21","96,97,98,99,100,540,541","7"]	151
["415"]	150
["3,66","7","6"]	149
["472"]	147
["2205","14942","66,2205","3,2205","66,14942","3,14942","18","2131,2132","21","7"]	145
["2266","23,2266","7"]	139
["15,371","3,15,371","15,66,371","15,114,371","7"]	138
["3541"]	137
["929","14","173","413","229","104","59","56","7"]	134
["42"]	133
["94"]	133
["413","56","57,288","104","59","7"]	133
["13,14,44,45,64,625","18","7"]	132
["6,413","3,56,57,330","3,56,57,175,330","6,104","59"]	132
["413","1625","239,2086","57,288","104","59","7"]	131
["723,17578","24,26,29","7"]	128
["143","23649","23247","16609","23650","18217","21979","22182","23651"]	128
["3,14"]	127
["6,413","56,57","288","56,57,175","6,104","59"]	125
["156"]	124
["21,723,17578","24,26,29","7"]	123
["12","7"]	123
["73"]	123
["59,212,1434","253","254","253,922","7"]	122
["480","7"]	121
["3,13,45","24,29","66","7"]	120
["3,28","7"]	120
["1328","6,89,231,510,1966","1214,1965"]	119
["3","3,1230","3,21","7"]	117
["142"]	116
["460","67,460","57,460","7"]	116
["3,18,21,66,763","231","66","764","765,766","24,26,29","18","389,390,1038","7"]	114
["49","7"]	114
["3,18,195","3,18,21,195","7"]	113
["3,940","6"]	111
["6,300","3"]	110
["3,18","3,18,195","3,18,21","7"]	110
["929","6,23","45"]	110
["535"]	108
["3,49","24,26,29","3,49,372","373","6","3,32,49"]	105
["231","96,97,98,99,100,540,541,686","7"]	105
["47"]	104
["17489","23,17489","7"]	104
["3,64","3,14,64","3,64,733","7"]	104
["89,231,2797","24,29"]	103
["3","3,6"]	103
["61","61,143","143"]	103
["110","66","7"]	103
["2205","66,2205","21,2205","3,2205","18","2131,2132","7"]	102
["621","23,621","7"]	102
["23","7"]	101
["64","3,64","64,733","7"]	101
["13681","173","537","12656","9477"]	99
["6","6,231","231"]	98
["3,21,763","764","765,766","7"]	98
["21,65","21,66"]	97
["221","3","221,733","7"]	97
["65","66"]	97
["121","7"]	97
["151","4400","21,151","22,151","21,4400","22,4400","18","19","7","6,23"]	96
["21,47"]	95
["108"]	92
["2745","23,2745","7"]	90
["3,14,339","340","340,729","255,340","64","259","600","7"]	89
["3,6,18,65","231"]	89
["2412"]	89
["3","231","3,6"]	89
["3391","23,3391","7"]	89
["929","6,23","663"]	88
["2405"]	88
["2258"]	88
["1743","23,1743","7"]	87
