query_shape	count
["21","22","18","19","7","6,23"]	12540
["3","7"]	4751
["3,6","231"]	3802
["24,29"]	3111
["18,65,1481","7"]	2988
["21","22","18","19,20","7","6,23"]	2965
["2205","66,2205","22","66","21,2205","3,2205","22,2205","18","2131","7"]	2948
["79","24,26,29","79,142","3,79","7"]	2026
["49"]	2022
["3"]	1912
["231"]	1866
["231","7"]	1725
["929","6,23","3"]	1697
["3,6","3","231","6,13"]	1563
["569","21,569"]	1459
["3","3,14","3,64","7"]	1173
["6"]	1172
["3,18,760","18,760,1433","7"]	1128
["8","65","66","402","3339"]	1083
["6","21","23"]	1063
["53","7"]	1000
["1328","88,89,168,231,1121,1214,1680,1965,1966","1667,1967","88,89,168,231,1121,1214,1678,1680,1965,1966","1968","7"]	981
["6","21","18","24,26,28,29"]	951
["88,240","3373","231,510","88,1121,1214,1965,1966","376,3373","476","10","7"]	812
["1667,2903","376,5848","6,3493","476","377","7"]	810
["1667,2696","376,437,2697","476","3317","454","231,454","231","376,437,6027","376,437,6021","1667,13498","1667,13584","12695","453,454","231,453,454","7"]	810
["1328","88,89,168,231,1121,1214,1965,1966","88,89,168,231,1121,1214,1667,1680,1965,1966,1967","88,89,168,231,1121,1214,1678,1965,1966","1968","7"]	803
["3,6"]	767
["66","7"]	748
["24,26,28,29","704"]	740
["143","7"]	730
["3,38,695","231","39,40","39,346","39","346","40","7"]	696
["3","231","7"]	687
["3,38","231","39,40,2415","1640","537","9376","9418","3","7"]	677
["235"]	617
["621","23,621","7"]	610
["2205","66,2205","21,2205","3,2205","18","2131","7"]	573
["6,18","6,18,21","6,18,142"]	569
["56","6","3,56","56,57","56,330","56,135","7"]	543
["4"]	539
["1962","23,1962","7"]	514
["664,1667,2832","89","376,437","476","10","6","7"]	510
["151","21,151","22,151","18","19","7","6,23"]	507
["328","329","6","255,329","259,329","306,329","7"]	506
["56,57","3,637","6,56,57,330"]	506
["302","304","6","305","303","6,21","255,304","259,304","304,306","255,305","259,305","305,306","7"]	503
["6,56,370","6","56,370"]	502
["56","57,288"]	499
["56,135","6","6,922"]	484
["2406"]	481
["3,21,763","764","765,766","7"]	479
["255,2223","2196"]	416
["3,18"]	412
["1463,1495","1623","2860","1463"]	389
["6","24,26","6,106","6,42","6,21","6,173","6,574","6,575"]	382
["3","3,21","7","6"]	378
["21,763","764","765,766","7"]	372
["231","21,231","7","6"]	368
["255,2223","2196","255,259,2223"]	368
["14"]	365
["2205","66,2205","22","66","21,2205","3,2205","22,2205","18","2131,2132","7"]	362
["255,2223","2196","259"]	358
["56,370","3","231","59","2137","7"]	357
["255,2223","2196","259,2223"]	356
["2196","255,2223","2223"]	356
["370","3","231","59","2137","7"]	355
["15","15,21","7"]	351
["3,235"]	351
["6,88,89,231,1121,1214,1678,1965,1966","1328","1968"]	351
["2196","2223"]	350
["12,413","413","3,56","104","59","12,104","7"]	339
["165","1168","57","190"]	331
["64"]	331
["57,288"]	328
["113,228"]	328
["3536","23,3536","7"]	327
["637","1977","978","4357","4380","1149","682","238"]	326
["683","1291"]	323
["3","231"]	322
["2745","23,2745","7"]	318
["3,65","7"]	317
["77"]	316
["415","23,415","7"]	312
["34"]	309
["7"]	302
["385","23,385","7"]	295
["18"]	289
[]	288
["14,21,45,256","257","65","24","14,21,45,201,256","13,14,21,45,256","14,21,45,256,258","14,21,22,45,256","255,257","257,259","7"]	285
["91"]	265
["445","23,445","7"]	263
["13","7"]	260
["6","21","1450","18","24,26,28,29"]	257
["35,170,339","341","92","116","7"]	251
["2859"]	248
["2266","23,2266","7"]	247
["18","136","21,136","389,390","7"]	244
["3,18,65,763","231","764","765,766","3,18,65,142,165,763","7"]	241
["3","231","3,488","3,486","3,14","3,64","3,12","7"]	235
["3,197,1392","231","1393","12","259","7"]	232
