query_shape	count
["21","22","18","19","7","6,23"]	11025
["3","7"]	5529
["21","22","18","19,20","7","6,23"]	4503
["24,29"]	3839
["231"]	2852
["6","21","1450","18","24,26,28,29"]	2543
["929","6,23","3"]	2286
["53","7"]	2028
["231","7"]	1816
["3","231","3,231","7"]	1632
["49"]	1594
["3"]	1277
["18,65,1481","7"]	1275
["3","3,14","3,64","7"]	1077
["8","65","66","402","3339"]	1073
["3","66","18","637","113","165","7"]	1043
["151","21,151","22,151","18","19","7","6,23"]	1026
["21,763","764","765,766","7"]	1025
["3,339","340","255,340","259,340","340,599","340,600","7"]	884
["3","231","7"]	848
["271"]	806
["3,21,763","764","765,766","7"]	784
["89,1582"]	758
["569","21,569"]	735
["6"]	721
["3,6"]	702
["2745","23,2745","7"]	693
["3,38,695","231","39,40","39,346","39","346","40","7"]	688
["3,38","231","39,40,2415","1640","537","9376","9418","3","7"]	660
["370","3","231","59","2137","7"]	626
["4"]	620
["56,370","3","231","59","2137","7"]	616
["590","23,590","7"]	614
["6,18","6,18,21","6,18,142"]	613
["6","21","23"]	569
["89,1126,1667"]	559
["3","231"]	524
["1328","88,89,168,231,1121,1214,1680,1965,1966","1667,1967","88,89,168,231,1121,1214,1678,1680,1965,1966","1968","7"]	516
["56","6","3,56","56,57","56,330","56,135","7"]	507
["2406"]	503
["6","24,26","6,106","6,42","6,21","6,173","6,574","6,575"]	501
["56,57","3,637","6,56,57,330"]	486
["3,23"]	480
["6,56,370","6","56,370"]	479
["77"]	477
["18","136","21,136","389,390","7"]	476
["302","304","6","305","303","6,21","255,304","259,304","304,306","255,305","259,305","305,306","7"]	473
["328","329","6","255,329","259,329","306,329","7"]	472
["56","57,288"]	472
["67","23,67","7"]	447
["1310","23,1310","7"]	423
["34"]	422
["1536","23,1536","7"]	411
["421","23,421","7"]	385
["3,65","7"]	379
["76"]	362
["1328","89,1121,1680"]	361
["151","21,151","22,151","18","19,20","7","6,23"]	350
["77","23,77","7"]	349
["3","3,21","7"]	349
["91"]	349
["7"]	341
["12,413","413","3,56","104","59","12,104","7"]	339
["32"]	336
["415","23,415","7"]	335
["3","66","18","637","113","165","14","7"]	326
["66","7"]	323
["56,135","7"]	322
["3,197,1392","231","1393","12","259","7"]	319
["3","3,21","7","6"]	319
["16"]	318
["89,664,1126,1667"]	318
["3,66","7"]	318
["3391","23,3391","7"]	313
["2266","23,2266","7"]	308
["89,664,1126,1667,2832","3","630,2833","6"]	305
["127"]	303
["57,288"]	301
["201","24","201,372","373","373,375","7"]	295
["2205","66,2205","21,2205","3,2205","18","2131","7"]	281
["70"]	280
["3","231","3,488","3,486","3,14","3,64","3,12","7"]	262
["6,88,89,231,1121,1214,1678,1965,1966","1328","1968"]	259
["231","21,231","7","6"]	251
["3,18,21,66,763","231","66","764","765,766","24,26,29","18","389,390,1038","7"]	251
["35","7"]	250
["14,21,45,256","257","65","24","14,21,45,201,256","13,14,21,45,256","14,21,45,256,258","14,21,22,45,256","255,257","257,259","7"]	247
["3,6","231"]	243
["3,6,18,65","231"]	241
["3,271","231"]	240
["480","7"]	238
["3","231","3,21","3,22","18","19","7","6,23"]	236
["88,240","3373","231,510","88,1121,1214,1965,1966","376,3373","476","10","7"]	236
["151","4400","21,151","22,151","21,4400","22,4400","18","19","7","6,23"]	234
["3","66","18","637","7"]	232
["295","7"]	232
["3,460","3,67,460","3,57,460","7"]	230
["14"]	224
["94"]	224
["1667,2696","376,437,2697","476","3317","454","231,454","231","376,437,6027","376,437,6021","1667,13498","1667,13584","12695","453,454","231,453,454","7"]	223
["1667,2903","376,5848","6,3493","476","377","7"]	222
["3,21","231","24,26,29","18","389,390","7","6,23"]	218
["3,65,66","7"]	210
["2116","23,2116","7"]	209
["61","61,143","143"]	208
["35,170,339","341","92","116","7"]	207
["24,26,28,29","704"]	201
["3,6,637","24,29,592"]	197
["3,759,1278"]	194
["13","7"]	193
["14","6,14"]	189
["143","23649","23247","16609","23650","18217","21979","22182","23651"]	187
["3","231","3,637","3,113","3,6"]	187
["50"]	187
["64"]	186
["231","96,97,98,99,100,540,541","7"]	184
[]	178
["24,26,592","704","3","231"]	178
["18","18,66"]	177
["69"]	176
["165","1168","57","190"]	174
["637","1977","978","4357","4380","1149","682","238"]	173
["3,65,1392","231","1393","12","259","7"]	173
["683","1291"]	173
["113,228"]	173
["3,6","231","6,231"]	170
["18","66","389,390","7"]	169
["3,175","3,6,175"]	168
["110","66","7"]	167
["3,28","7"]	166
["2859"]	166
["56,135","6","6,922"]	164
["3,18","24,29","21","7"]	164
["1336"]	164
["3,757","3,6,757","3,757,758","3,142,757","3,757,759","3,595,757","3,21,757","3,620,757","3,757,760","3,757,761"]	164
["156"]	162
["985","21,170,625","21,64,170,625","7"]	161
["3,486","231","3,488","3,480","3,1633","3,727","7"]	156
["3,65","231","7"]	156
["13,14,44,45,64,625","18","7"]	155
["12","7"]	155
["143","7"]	155
["6","21","18","24,26,28,29"]	153
["3,65"]	152
["221","3","221,733","7"]	150
["151,416","231","18,151,416","21,151,416","7"]	150
["3,507","231"]	149
["55","7"]	148
["3,161","231"]	148
["3,271,507","231"]	148
["507","3,271","231"]	148
["18","389,390"]	147
["21,642,927","7"]	147
["3,6,65"]	146
["67"]	146
["3,6,1467","6"]	145
["3,21","7"]	143
["47"]	141
["42"]	140
["702"]	140
["65","66"]	136
["3,940","6"]	136
["59","21,59","7","6"]	135
["3,12,13,47","23"]	135
["3,339","340,341,729","7"]	135
["3,18,59,473,3039","7"]	134
["24"]	133
["220","3","220,733","7"]	132
["6,456"]	132
["3,18,535","375,536"]	132
["21,47"]	131
["108"]	131
["28"]	130
["3","24,29","7"]	130
["21,65","21,66"]	129
["135","57,135","7"]	129
["1962","23,1962","7"]	127
["89,664,1126,1667,2832","3","630,2833"]	127
["3,535","3277,3278","7"]	126
["126"]	126
["21","56,135","7"]	125
["135","288"]	123
["3,197","3,66","66","7"]	122
["3,45","653,2027","3,44","3,656","3,21,45","3,21,44","3,21,656","7"]	120
["3,18,924"]	120
["3,57","23"]	120
["18,21,151,2205","179","7"]	120
["3,65,939","6"]	117
["3,65","24,29","7"]	117
["480","21","96,97,98,99,100,540,541","7"]	116
["89,664,1126,1667","3"]	115
["3,307","3,18,307","24,29","7"]	113
["24,26","7"]	113
["3,61"]	111
["21"]	110
["3,65","3,18,65","3,21,65","7"]	107
["3","24"]	105
["3,65,66"]	105
["3,66","66","7"]	105
["3,21,197,760","7"]	104
["221","3,118","3","231","3,699","221,733","7"]	104
["472"]	103
["3,35","7"]	102
["3","231","3,21","3,22","18","19,20","7","6,23"]	102
["68"]	101
["391","23,391","7"]	101
["3,49","24,26,29","3,49,372","373","6","3,32,49"]	100
["14","7"]	100
["59","7"]	99
["173"]	98
["12,13,45","66","18","12,13,14,45","12,13,45,64","12,13,21,45","18,66","7"]	98
["49","7"]	97
["413","56","57,288","104","59","7"]	96
["201","24","201,691","201,692","201,372","373","373,375","7"]	96
["3,221","7"]	95
["3","3,231","3,21","7"]	95
["404,723","18,404,723","21,404,723","7"]	94
["3,18,65","66","7"]	93
["83"]	93
["3,109","49"]	93
["3,229,1592","231","7"]	93
["413","1625","239,2086","57,288","104","59","7"]	92
["21","14","45","64","44","154","42","1743","211","126","243","24","7","6,23","6"]	92
["56,135","12","7"]	92
["3","24,26","7"]	92
["61,231"]	92
["6,413","3,56,57,330","3,56,57,175,330","6,104","59"]	91
["12,723","6","7"]	90
["3,535","375,536","7"]	90
["6,413","56,57","288","56,57,175","6,104","59"]	89
["3,6,65","231"]	88
["440","23,440","7"]	88
["404,723","18,404,723","21,404,723","13,404,723","7"]	87
["64","6,64"]	87
["4084","3863","65,4084","7"]	87
["481","7"]	86
["18,151"]	86
["3,18,65","231","3,18,65,142","7"]	86
["231","96,97,98,99,100,540,686","7"]	85
["201","24","201,612","201,613","201,614","75,201","201,293","201,312","201,615","201,616","617","617,618","7"]	85
["3,12","24,26","7"]	84
["3,165","7"]	84
["3,66"]	83
["288,370","3","231","59","2137","7"]	82
["1994","1993"]	82
["135,370","3","231","59","2137","7"]	81
["89,1126,1667,2832","630,2833","3,6"]	81
["89,1126,1667,2832","630,2833","3,6","6"]	81
["486,488","7"]	80
["3","3,18","7"]	80
["21,145","7"]	79
["3,6","3,6,10"]	79
["31,44","18","3","7"]	78
["1392","1393","481","21,481","21","7"]	78
["13,31","7"]	78
["441","6","7"]	77
["3","24,29"]	77
["2227","23,2227","7"]	77
["3,65,253,307","255"]	76
["3,113,228","231","3,59,113,228","59","7"]	76
["3","231","24","24,26","24,26,29"]	76
["3","3,6"]	75
["13,14,21,44,45,64,625","18","7"]	75
["88,89"]	75
["3,65,66","66","7"]	75
["3,18","7"]	74
["3,3688","231","179,3641","7"]	74
["3,65,763","231","764","28,765,766","3,21,65,763","7"]	74
["78"]	74
["3,21,65,763","231","764","28,765,766","7"]	74
["59"]	73
["3,6,65","6,198"]	73
["26","704"]	72
["3,14,64","24,26","3,14,21,64"]	72
["3,6","7"]	72
["13681","173","537","12656","9477"]	71
["1392","1393","481","7"]	71
["3,65","231","1411","7"]	70
["482","23,482","7"]	70
["929","14","413","229","104","59","56","7"]	70
["376","476","3"]	70
["486","7"]	69
["1994","1993","7"]	69
["358","23,358","7"]	69
["3,197,595,1031,1411","7"]	68
["24,26","3","56","7"]	68
["3","3,984","7"]	68
["23"]	67
["929","6,23","65"]	67
["157","23,157","7"]	67
["231","3","7"]	66
["6","7"]	66
["3,637","24,29,592","3,6,637"]	64
["15","15,21","7"]	63
["3","231","23644"]	63
["60"]	63
["15,21","7"]	62
["3,18,59","231","3,18,21,59","7"]	62
["3,18,59,432","231","239","7"]	61
["85"]	61
["229","7"]	61
["3,18,59","59","3","231","7"]	61
["3,6,18,65"]	60
["23","3,12,21,47","24","24,29","7"]	60
["3,66,126","7"]	60
["3,6,49,57","3,6,37,49,57","3,6,49,57,124","3,6,49,57,460","7"]	60
["63"]	60
["13"]	59
["24,29","18","389,390","7"]	59
["3,18,142","231","7"]	58
["621","23,621","7"]	58
["3,49","7"]	58
["198","7"]	58
["59,165","7"]	57
["18","3,18,65","231","3,18,21,65","7"]	57
["3,6,18"]	57
["3,614,675,676,677,678","7"]	57
["231","6,231"]	57
["2216"]	56
["1698","23,1698","7"]	56
["3,18,66","231","7"]	56
["2405"]	56
["1590","23,1590","7"]	56
["2461","709"]	56
["65,151","21,65,151","2506,2507","7"]	55
["2424"]	55
["6,13"]	55
["3,6","370"]	55
["128","120,128","128,139","128,981","7"]	55
["3,35","3,21,35","7"]	55
["24,26,592","6"]	54
["1524","7"]	54
["145","21,145","7"]	54
["3,151","3,18,151","3,21,151","3,151,165","24,29","7"]	54
["57,416,653","7"]	54
["3,197","7"]	54
["3,15","3,15,18","3,15,21"]	53
["2412"]	53
["71"]	53
["480","96,97,98,99,100,540,541","7"]	53
["3,142","7"]	53
["2724"]	53
["1692","23,1692","7"]	53
["1392","259,1393","64","1393","7"]	53
["3,18,197","231","7"]	52
["2687"]	52
["3,6,57"]	52
["323","7"]	52
["510","3","3,66","66","3,18","3,21","3,18,66","3,21,66","7"]	52
["3,1463","28","7"]	52
["3,12,13,47","13","23"]	52
["229","35","124","13","3","170"]	51
["2471","23,2471","7"]	51
["59,212,1434","253","254","253,922","7"]	51
["338","7"]	51
["87","7"]	51
["3","3,21","2506,2507","7"]	51
["3,197","231","7"]	51
["3","66","18","637"]	51
["3,12,13","231","3,12,13,221","3,12,13,14","3,12,13,64","3,12,13,47","7"]	50
["3,6,637"]	50
["3","3,446","3,1435","3,168","3,168,446","3,168,1435","7"]	50
["3,14,339","340,341","113,253","239,254","7"]	50
["6,231"]	50
["65","7"]	50
["2690"]	50
["3,221","231","7"]	49
["3,6,14"]	49
["124","7"]	48
["6,231","24,26,592"]	48
["333","24","7"]	48
["3","3,66","66","7"]	48
["24,26,592","3"]	48
["73"]	48
["3,6,18,65","231","66"]	47
["3,6,12,45","66","430","24,29","7"]	47
["2686"]	47
["3,47","7"]	47
["3,339,480,481,1020","239,255,340","12","3,21,339,480,481,1020","21","7"]	47
["6,88,89,231,1121,1214,1965,1966","1328"]	46
["145","96,97,98,99,100,540,541","7"]	46
["3","65","7"]	46
["56","7"]	46
["3,57,136","6"]	46
["6,13","231"]	46
["3,6,49,57","3,6,37,49,57","3,6,49,57,1364","3,6,49,57,124","3,6,49,57,460","7"]	46
["35,170","65","21,35,170","2506,2507","7"]	46
["3,18,66","510","66","3,18","7"]	46
["3","7","6"]	45
["479","3,18,110,637","7"]	45
["3,6,198","3,6,65"]	45
["89,664,1126,1667,2832","3","2833"]	45
["3,35,481","7"]	45
["89,664,1126,1667,2832","3,6","630,2833"]	45
["3,65","3,18,65","7"]	45
["3,6,87","231"]	45
["3,6","6"]	45
["18,473","7"]	45
["28","7"]	45
["231","96,97,98,99,100,540,541,686","7"]	45
["1481","7"]	44
["3,66","231","7"]	44
