TotalLines	500339 
TotalQueries	500339 
ValidQueries	497031 
VariablePredicateQueries	247308
SubQueryQueries	37529
PredicatePathQueries	259409
query_shape	count
["6,18,21,22,23,891","7,19"]	14267
["1,450"]	10342
["21,569"]	8714
["1"]	8309
["3","7"]	4919
["142","24,29","7"]	4636
["6,18,21,22,23,891","7,19,20"]	4312
["3,6,18,21,22,23,65,891","7,19"]	3460
["24,29"]	2794
["3,6,18,21,22,23,65,891","7,19,20"]	2621
["3,461","7"]	1873
["3,18,21,66,2205","7,2131"]	1560
["2982"]	1536
["1622"]	1509
["1,6,18,21,142,173,271,572,655,681","24,26,28,29"]	1458
["370"]	1388
["3,14,64","7"]	1318
["7"]	1317
["3,653","7"]	1312
["102"]	1218
["3,855","7"]	1156
["6"]	1146
["3"]	1034
["2677,18578"]	996
["7","3"]	987
["107"]	946
["6,21,23"]	938
["3,56,57,135,330","6","6","7"]	931
["78"]	919
["56,135","6,922"]	886
["328","255,259,306,329","6","6","7"]	880
["56","57,288"]	874
["302","255,259,304,306","6,21","6","7"]	874
["205"]	860
["231"]	744
["352","7"]	723
["199"]	719
["72"]	686
["126"]	682
["53","7"]	675
["3,6"]	666
["209","7,2131","3,14,21,64,171,207"]	642
["3,18,21,253","7,2131","179","14,21,64"]	641
["3,37","7"]	635
["56","173","7"]	634
["3,79,142","24,26,29","7"]	625
["57,288","56"]	610
["549"]	606
["515"]	590
["71"]	561
["752"]	555
["6,18,21,655","24,26,28,29"]	515
["666"]	501
["837"]	459
["5,6,18"]	438
["597"]	431
["49"]	430
["2403"]	429
["3,1039,1064,1670,14805","18","375,7097","375,7097","7"]	417
["3,8,197,3261","7"]	415
["940"]	415
["28"]	411
["3,21,596"]	408
["363"]	397
["751"]	392
["3505"]	384
["18,66","18"]	363
["3,65","7"]	362
["535","375,536"]	355
["3,21","7"]	343
["231","7"]	342
["18,65,1481","7"]	340
["6,21,42,106,173,574,575","24,26"]	338
["167"]	335
["2137"]	333
["23,18160","7"]	327
["2251"]	326
["123"]	314
["6,18,21,142"]	313
["834"]	312
["23,18034","7"]	303
["7","3,17"]	303
["204"]	302
["7","6,14,21,23,42,44,45,64,126,154,211,243,1743","6","6","24","24"]	301
["3,6,21,142,595,620,757,758,759,760,761"]	295
["3,194"]	289
["3,13","7"]	288
["3,53"]	286
["23,18212","7"]	286
["7","3,21"]	286
["3,797","47","7"]	284
["59"]	283
["13"]	281
["1495","1623","1463","2860","1463","2860"]	276
["276"]	275
["1328","89,1121,1680"]	267
[]	266
["7","3,21,109,136,142,342,572,1984"]	265
["3428"]	264
