Valid queries: 33894154 
0	112624740
1	24315402
2	11604217
6	5728549
9	3996821
3	2233810
5	303755
4	102150
8	85993
10	23950
15	15756
7	12860
13	8050
11	5759
16	2480
17	2004
12	1535
14	981
18	380
20	350
26	349
25	345
19	277
35	268
21	182
24	180
22	166
23	153
30	127
28	100
27	99
29	67
33	65
31	49
32	49
34	40
38	32
40	31
43	31
37	30
39	28
36	27
41	27
42	27
48	26
45	23
52	20
44	15
51	12
57	11
46	10
55	10
58	10
54	9
49	8
50	8
71	8
47	6
53	6
56	5
59	5
60	5
65	5
67	5
70	4
72	4
81	4
99	4
62	3
63	3
68	3
73	3
75	3
76	3
61	2
64	2
66	2
69	2
74	2
77	2
87	2
95	2
78	1
79	1
82	1
83	1
86	1
88	1
89	1
90	1
92	1
102	1
107	1
108	1
